Time,Signal
5,-36
5.00833,-34
5.01667,-31
5.025,-29
5.03333,-27
5.04167,-28
5.05,-31
5.05833,-35
5.06667,-39
5.075,-42
5.08333,-40
5.09167,-37
5.1,-32
5.10833,-28
5.11667,-26
5.125,-26
5.13333,-29
5.14167,-32
5.15,-35
5.15833,-37
5.16667,-38
5.175,-38
5.18333,-37
5.19167,-36
5.2,-37
5.20833,-38
5.21667,-40
5.225,-40
5.23333,-39
5.24167,-37
5.25,-34
5.25833,-32
5.26667,-30
5.275,-30
5.28333,-32
5.29167,-37
5.3,-43
5.30833,-48
5.31667,-51
5.325,-51
5.33333,-49
5.34167,-47
5.35,-45
5.35833,-44
5.36667,-43
5.375,-44
5.38333,-43
5.39167,-41
5.4,-38
5.40833,-34
5.41667,-31
5.425,-28
5.43333,-28
5.44167,-31
5.45,-37
5.45833,-41
5.46667,-43
5.475,-42
5.48333,-42
5.49167,-41
5.5,-41
5.50833,-43
5.51667,-46
5.525,-49
5.53333,-54
5.54167,-59
5.55,-64
5.55833,-66
5.56667,-64
5.575,-61
5.58333,-56
5.59167,-51
5.6,-46
5.60833,-42
5.61667,-39
5.625,-39
5.63333,-42
5.64167,-46
5.65,-49
5.65833,-49
5.66667,-45
5.675,-40
5.68333,-36
5.69167,-33
5.7,-35
5.70833,-39
5.71667,-42
5.725,-42
5.73333,-40
5.74167,-38
5.75,-37
5.75833,-38
5.76667,-40
5.775,-42
5.78333,-41
5.79167,-39
5.8,-36
5.80833,-34
5.81667,-35
5.825,-38
5.83333,-42
5.84167,-46
5.85,-48
5.85833,-49
5.86667,-48
5.875,-47
5.88333,-47
5.89167,-47
5.9,-49
5.90833,-51
5.91667,-52
5.925,-52
5.93333,-51
5.94167,-50
5.95,-48
5.95833,-47
5.96667,-45
5.975,-44
5.98333,-44
5.99167,-44
6,-44
6.00833,-42
6.01667,-39
6.025,-36
6.03333,-33
6.04167,-33
6.05,-35
6.05833,-39
6.06667,-43
6.075,-45
6.08333,-44
6.09167,-42
6.1,-40
6.10833,-40
6.11667,-40
6.125,-40
6.13333,-41
6.14167,-41
6.15,-42
6.15833,-42
6.16667,-41
6.175,-40
6.18333,-38
6.19167,-37
6.2,-38
6.20833,-41
6.21667,-44
6.225,-46
6.23333,-46
6.24167,-45
6.25,-42
6.25833,-38
6.26667,-34
6.275,-30
6.28333,-28
6.29167,-27
6.3,-29
6.30833,-34
6.31667,-38
6.325,-41
6.33333,-44
6.34167,-46
6.35,-48
6.35833,-49
6.36667,-50
6.375,-49
6.38333,-46
6.39167,-41
6.4,-36
6.40833,-32
6.41667,-29
6.425,-28
6.43333,-29
6.44167,-31
6.45,-33
6.45833,-35
6.46667,-35
6.475,-34
6.48333,-34
6.49167,-36
6.5,-39
6.50833,-43
6.51667,-46
6.525,-47
6.53333,-46
6.54167,-43
6.55,-40
6.55833,-39
6.56667,-38
6.575,-39
6.58333,-40
6.59167,-40
6.6,-42
6.60833,-45
6.61667,-48
6.625,-50
6.63333,-51
6.64167,-49
6.65,-46
6.65833,-44
6.66667,-43
6.675,-43
6.68333,-43
6.69167,-43
6.7,-43
6.70833,-41
6.71667,-39
6.725,-39
6.73333,-40
6.74167,-41
6.75,-42
6.75833,-42
6.76667,-42
6.775,-43
6.78333,-45
6.79167,-48
6.8,-49
6.80833,-48
6.81667,-45
6.825,-41
6.83333,-37
6.84167,-35
6.85,-34
6.85833,-34
6.86667,-36
6.875,-37
6.88333,-39
6.89167,-41
6.9,-42
6.90833,-44
6.91667,-48
6.925,-54
6.93333,-59
6.94167,-63
6.95,-65
6.95833,-64
6.96667,-61
6.975,-55
6.98333,-50
6.99167,-45
7,-41
7.00833,-37
7.01667,-35
7.025,-33
