Time,Signal
5,29
5.00833,30
5.01667,30
5.025,29
5.03333,28
5.04167,28
5.05,29
5.05833,28
5.06667,26
5.075,23
5.08333,21
5.09167,22
5.1,23
5.10833,25
5.11667,26
5.125,27
5.13333,27
5.14167,27
5.15,27
5.15833,26
5.16667,24
5.175,23
5.18333,23
5.19167,26
5.2,30
5.20833,34
5.21667,37
5.225,37
5.23333,35
5.24167,32
5.25,29
5.25833,26
5.26667,26
5.275,26
5.28333,26
5.29167,27
5.3,26
5.30833,24
5.31667,23
5.325,25
5.33333,27
5.34167,30
5.35,31
5.35833,33
5.36667,33
5.375,34
5.38333,32
5.39167,30
5.4,27
5.40833,25
5.41667,23
5.425,21
5.43333,20
5.44167,21
5.45,23
5.45833,25
5.46667,25
5.475,23
5.48333,20
5.49167,18
5.5,18
5.50833,20
5.51667,24
5.525,27
5.53333,30
5.54167,32
5.55,32
5.55833,32
5.56667,32
5.575,32
5.58333,32
5.59167,32
5.6,33
5.60833,32
5.61667,31
5.625,29
5.63333,28
5.64167,29
5.65,30
5.65833,32
5.66667,34
5.675,35
5.68333,35
5.69167,35
5.7,34
5.70833,34
5.71667,34
5.725,34
5.73333,34
5.74167,35
5.75,38
5.75833,40
5.76667,40
5.775,39
5.78333,35
5.79167,31
5.8,27
5.80833,25
5.81667,25
5.825,28
5.83333,32
5.84167,37
5.85,42
5.85833,45
5.86667,45
5.875,43
5.88333,41
5.89167,39
5.9,37
5.90833,35
5.91667,33
5.925,30
5.93333,28
5.94167,26
5.95,25
5.95833,25
5.96667,26
5.975,28
5.98333,30
5.99167,32
6,34
6.00833,36
6.01667,37
6.025,37
6.03333,36
6.04167,35
6.05,33
6.05833,31
6.06667,28
6.075,27
6.08333,27
6.09167,30
6.1,35
6.10833,39
6.11667,41
6.125,39
6.13333,34
6.14167,30
6.15,28
6.15833,28
6.16667,31
6.175,34
6.18333,35
6.19167,35
6.2,34
6.20833,32
6.21667,31
6.225,31
6.23333,32
6.24167,33
6.25,34
6.25833,36
6.26667,38
6.275,40
6.28333,43
6.29167,47
6.3,49
6.30833,48
6.31667,46
6.325,42
6.33333,38
6.34167,34
6.35,31
6.35833,30
6.36667,31
6.375,31
6.38333,32
6.39167,33
6.4,34
6.40833,34
6.41667,35
6.425,35
6.43333,36
6.44167,37
6.45,39
6.45833,41
6.46667,43
6.475,44
6.48333,42
6.49167,39
6.5,36
6.50833,33
6.51667,32
6.525,33
6.53333,34
6.54167,34
6.55,31
6.55833,27
6.56667,21
6.575,18
6.58333,17
6.59167,20
6.6,27
6.60833,34
6.61667,39
6.625,40
6.63333,38
6.64167,33
6.65,28
6.65833,26
6.66667,27
6.675,29
6.68333,29
6.69167,28
6.7,25
6.70833,22
6.71667,21
6.725,23
6.73333,27
6.74167,30
6.75,34
6.75833,37
6.76667,40
6.775,41
6.78333,41
6.79167,39
6.8,38
6.80833,35
6.81667,34
6.825,34
6.83333,35
6.84167,36
6.85,37
6.85833,38
6.86667,39
6.875,39
6.88333,38
6.89167,37
6.9,37
6.90833,37
6.91667,37
6.925,37
6.93333,37
6.94167,37
6.95,38
6.95833,40
6.96667,46
6.975,51
6.98333,56
6.99167,58
7,57
7.00833,54
7.01667,49
7.025,45
7.03333,42
7.04167,39
7.05,37
7.05833,37
7.06667,38
7.075,41
7.08333,44
7.09167,47
7.1,48
7.10833,49
7.11667,49
7.125,50
7.13333,51
7.14167,52
7.15,54
7.15833,54
7.16667,52
7.175,50
7.18333,46
7.19167,43
7.2,40
7.20833,39
7.21667,38
7.225,39
7.23333,40
7.24167,39
7.25,38
7.25833,39
7.26667,41
7.275,43
7.28333,44
7.29167,45
7.3,44
7.30833,43
7.31667,43
7.325,45
7.33333,48
7.34167,51
7.35,53
7.35833,54
7.36667,53
7.375,51
7.38333,49
7.39167,46
7.4,42
7.40833,38
7.41667,35
7.425,33
7.43333,32
7.44167,33
7.45,36
7.45833,39
7.46667,43
7.475,46
7.48333,47
7.49167,47
7.5,45
7.50833,42
7.51667,39
7.525,36
7.53333,34
7.54167,34
7.55,36
7.55833,39
7.56667,41
7.575,43
7.58333,44
7.59167,45
7.6,44
7.60833,44
7.61667,43
7.625,44
7.63333,44
7.64167,45
7.65,45
7.65833,44
7.66667,41
7.675,38
7.68333,37
7.69167,37
7.7,38
7.70833,40
7.71667,42
7.725,42
7.73333,42
7.74167,41
7.75,39
7.75833,38
7.76667,37
7.775,36
7.78333,37
7.79167,39
7.8,42
7.80833,43
7.81667,45
7.825,45
7.83333,46
7.84167,45
7.85,44
7.85833,44
7.86667,45
7.875,47
7.88333,49
7.89167,52
7.9,54
7.90833,55
7.91667,56
7.925,56
7.93333,54
7.94167,50
7.95,46
7.95833,43
7.96667,42
7.975,41
7.98333,40
7.99167,39
8,38
8.00833,37
8.01667,37
8.025,39
8.03333,41
8.04167,43
8.05,45
8.05833,48
8.06667,50
8.075,52
8.08333,53
8.09167,52
8.1,51
8.10833,50
8.11667,49
8.125,47
8.13333,46
8.14167,47
8.15,48
8.15833,50
8.16667,52
8.175,52
8.18333,51
8.19167,49
8.2,47
8.20833,47
8.21667,48
8.225,51
8.23333,52
8.24167,51
8.25,49
8.25833,46
8.26667,42
8.275,39
8.28333,36
8.29167,35
8.3,37
8.30833,40
8.31667,43
8.325,45
8.33333,46
8.34167,46
8.35,44
8.35833,41
8.36667,38
8.375,36
8.38333,34
8.39167,32
8.4,32
8.40833,32
8.41667,32
8.425,31
8.43333,29
8.44167,27
8.45,26
8.45833,28
8.46667,34
8.475,40
8.48333,47
8.49167,52
8.5,54
8.50833,53
8.51667,51
8.525,51
8.53333,50
8.54167,48
8.55,45
8.55833,42
8.56667,40
8.575,39
8.58333,39
8.59167,40
8.6,41
8.60833,42
8.61667,42
8.625,43
8.63333,43
8.64167,43
8.65,44
8.65833,43
8.66667,41
8.675,40
8.68333,40
8.69167,41
8.7,44
8.70833,48
8.71667,52
8.725,53
8.73333,54
8.74167,54
8.75,54
8.75833,54
8.76667,53
8.775,52
8.78333,52
8.79167,53
8.8,55
8.80833,56
8.81667,57
8.825,57
8.83333,56
8.84167,54
8.85,53
8.85833,52
8.86667,53
8.875,53
8.88333,54
8.89167,54
8.9,52
8.90833,50
8.91667,48
8.925,44
8.93333,41
8.94167,38
8.95,36
8.95833,35
8.96667,34
8.975,33
8.98333,34
8.99167,35
9,37
9.00833,40
9.01667,43
9.025,45
9.03333,47
9.04167,50
9.05,52
9.05833,52
9.06667,50
9.075,47
9.08333,44
9.09167,42
9.1,43
9.10833,46
9.11667,49
9.125,52
9.13333,53
9.14167,53
9.15,52
9.15833,51
9.16667,50
9.175,48
9.18333,46
9.19167,43
9.2,40
9.20833,37
9.21667,36
9.225,39
9.23333,43
9.24167,48
9.25,53
9.25833,55
9.26667,55
9.275,54
9.28333,52
9.29167,51
9.3,52
9.30833,54
9.31667,57
9.325,60
9.33333,61
9.34167,60
9.35,58
9.35833,56
9.36667,56
9.375,58
9.38333,59
9.39167,60
9.4,59
9.40833,58
9.41667,56
9.425,55
9.43333,54
9.44167,54
9.45,54
9.45833,55
9.46667,57
9.475,59
9.48333,60
9.49167,60
9.5,59
9.50833,59
9.51667,59
9.525,59
9.53333,59
9.54167,58
9.55,56
9.55833,56
9.56667,56
9.575,58
9.58333,60
9.59167,61
9.6,60
9.60833,58
9.61667,56
9.625,54
9.63333,54
9.64167,57
9.65,60
9.65833,62
9.66667,62
9.675,61
9.68333,59
9.69167,58
9.7,59
9.70833,61
9.71667,60
9.725,57
9.73333,53
9.74167,49
9.75,47
9.75833,48
9.76667,51
9.775,55
9.78333,57
9.79167,58
9.8,60
9.80833,62
9.81667,66
9.825,71
9.83333,75
9.84167,75
9.85,72
9.85833,66
9.86667,59
9.875,53
9.88333,50
9.89167,51
9.9,56
9.90833,64
9.91667,68
9.925,70
9.93333,69
9.94167,67
9.95,66
9.95833,65
9.96667,66
9.975,66
9.98333,67
9.99167,68
10,69
10.00833,70
10.01667,70
10.025,66
10.03333,62
10.04167,58
10.05,56
10.05833,55
10.06667,56
10.075,56
10.08333,57
10.09167,56
10.1,54
10.10833,52
10.11667,50
10.125,49
10.13333,50
10.14167,53
10.15,56
10.15833,61
10.16667,65
10.175,70
10.18333,73
10.19167,75
10.2,75
10.20833,73
10.21667,70
10.225,66
10.23333,64
10.24167,64
10.25,65
10.25833,68
10.26667,71
10.275,73
10.28333,73
10.29167,72
10.3,71
10.30833,72
10.31667,72
10.325,73
10.33333,73
10.34167,72
10.35,69
10.35833,69
10.36667,71
10.375,74
10.38333,76
10.39167,78
10.4,79
10.40833,79
10.41667,79
10.425,78
10.43333,77
10.44167,75
10.45,74
10.45833,72
10.46667,72
10.475,73
10.48333,74
10.49167,76
10.5,78
10.50833,80
10.51667,81
10.525,82
10.53333,82
10.54167,83
10.55,85
10.55833,86
10.56667,86
10.575,84
10.58333,81
10.59167,78
10.6,76
10.60833,77
10.61667,80
10.625,84
10.63333,87
10.64167,89
10.65,89
10.65833,87
10.66667,85
10.675,83
10.68333,81
10.69167,80
10.7,82
10.70833,85
10.71667,91
10.725,97
10.73333,102
10.74167,106
10.75,107
10.75833,109
10.76667,112
10.775,116
10.78333,120
10.79167,124
10.8,126
10.80833,128
10.81667,131
10.825,137
10.83333,143
10.84167,149
10.85,155
10.85833,159
10.86667,162
10.875,166
10.88333,171
10.89167,177
10.9,183
10.90833,188
10.91667,192
10.925,197
10.93333,202
10.94167,208
10.95,215
10.95833,221
10.96667,228
10.975,233
10.98333,239
10.99167,245
11,251
11.00833,258
11.01667,265
11.025,272
11.03333,277
11.04167,280
11.05,282
11.05833,286
11.06667,292
11.075,299
11.08333,307
11.09167,316
11.1,325
11.10833,334
11.11667,341
11.125,347
11.13333,351
11.14167,354
11.15,357
11.15833,361
11.16667,365
11.175,368
11.18333,370
11.19167,371
11.2,371
11.20833,371
11.21667,372
11.225,373
11.23333,377
11.24167,383
11.25,390
11.25833,397
11.26667,404
11.275,409
11.28333,413
11.29167,415
11.3,417
11.30833,418
11.31667,418
11.325,419
11.33333,421
11.34167,423
11.35,426
11.35833,428
11.36667,429
11.375,430
11.38333,432
11.39167,435
11.4,440
11.40833,446
11.41667,451
11.425,454
11.43333,456
11.44167,455
11.45,455
11.45833,458
11.46667,464
11.475,473
11.48333,483
11.49167,493
11.5,500
11.50833,504
11.51667,506
11.525,506
11.53333,506
11.54167,508
11.55,511
11.55833,515
11.56667,519
11.575,522
11.58333,524
11.59167,528
11.6,532
11.60833,538
11.61667,543
11.625,548
11.63333,551
11.64167,553
11.65,554
11.65833,556
11.66667,560
11.675,567
11.68333,578
11.69167,591
11.7,604
11.70833,616
11.71667,622
11.725,623
11.73333,621
11.74167,618
11.75,617
11.75833,620
11.76667,626
11.775,634
11.78333,641
11.79167,647
11.8,651
11.80833,656
11.81667,660
11.825,665
11.83333,670
11.84167,673
11.85,676
11.85833,679
11.86667,683
11.875,687
11.88333,694
11.89167,700
11.9,705
11.90833,708
11.91667,711
11.925,715
11.93333,720
11.94167,726
11.95,733
11.95833,740
11.96667,746
11.975,750
11.98333,753
11.99167,755
12,755
12.00833,755
12.01667,757
12.025,762
12.03333,768
12.04167,773
12.05,777
12.05833,781
12.06667,785
12.075,790
12.08333,799
12.09167,807
12.1,813
12.10833,817
12.11667,819
12.125,822
12.13333,827
12.14167,834
12.15,841
12.15833,847
12.16667,852
12.175,853
12.18333,852
12.19167,849
12.2,846
12.20833,843
12.21667,841
12.225,841
12.23333,842
12.24167,843
12.25,844
12.25833,846
12.26667,848
12.275,852
12.28333,857
12.29167,863
12.3,870
12.30833,877
12.31667,885
12.325,892
12.33333,898
12.34167,901
12.35,902
12.35833,902
12.36667,901
12.375,899
12.38333,899
12.39167,901
12.4,905
12.40833,911
12.41667,916
12.425,920
12.43333,924
12.44167,928
12.45,931
12.45833,935
12.46667,938
12.475,941
12.48333,944
12.49167,946
12.5,946
12.50833,946
12.51667,947
12.525,948
12.53333,951
12.54167,954
12.55,958
12.55833,959
12.56667,960
12.575,960
12.58333,962
12.59167,964
12.6,966
12.60833,968
12.61667,967
12.625,965
12.63333,963
12.64167,964
12.65,967
12.65833,972
12.66667,977
12.675,980
12.68333,981
12.69167,982
12.7,983
12.70833,984
12.71667,985
12.725,986
12.73333,986
12.74167,987
12.75,989
12.75833,991
12.76667,991
12.775,988
12.78333,984
12.79167,979
12.8,975
12.80833,972
12.81667,971
12.825,972
12.83333,974
12.84167,975
12.85,978
12.85833,981
12.86667,984
12.875,987
12.88333,989
12.89167,991
12.9,991
12.90833,991
12.91667,990
12.925,990
12.93333,990
12.94167,990
12.95,988
12.95833,988
12.96667,989
12.975,990
12.98333,990
12.99167,988
13,983
13.00833,978
13.01667,974
13.025,974
13.03333,976
13.04167,981
13.05,987
13.05833,991
13.06667,993
13.075,993
13.08333,992
13.09167,989
13.1,987
13.10833,983
13.11667,981
13.125,981
13.13333,981
13.14167,982
13.15,984
13.15833,984
13.16667,984
13.175,984
13.18333,985
13.19167,985
13.2,985
13.20833,984
13.21667,983
13.225,984
13.23333,986
13.24167,989
13.25,992
13.25833,993
13.26667,991
13.275,989
13.28333,986
13.29167,982
13.3,980
13.30833,979
13.31667,978
13.325,978
13.33333,980
13.34167,983
13.35,986
13.35833,990
13.36667,994
13.375,996
13.38333,997
13.39167,997
13.4,998
13.40833,1001
13.41667,1005
13.425,1010
13.43333,1015
13.44167,1021
13.45,1027
13.45833,1031
13.46667,1032
13.475,1032
13.48333,1029
13.49167,1027
13.5,1027
13.50833,1028
13.51667,1030
13.525,1032
13.53333,1034
13.54167,1036
13.55,1040
13.55833,1044
13.56667,1050
13.575,1054
13.58333,1058
13.59167,1060
13.6,1060
13.60833,1059
13.61667,1058
13.625,1056
13.63333,1054
13.64167,1053
13.65,1052
13.65833,1052
13.66667,1053
13.675,1053
13.68333,1053
13.69167,1050
13.7,1047
13.70833,1044
13.71667,1040
13.725,1036
13.73333,1032
13.74167,1026
13.75,1021
13.75833,1017
13.76667,1016
13.775,1016
13.78333,1017
13.79167,1017
13.8,1014
13.80833,1009
13.81667,1004
13.825,998
13.83333,995
13.84167,994
13.85,994
13.85833,993
13.86667,989
13.875,983
13.88333,974
13.89167,965
13.9,959
13.90833,954
13.91667,950
13.925,946
13.93333,941
13.94167,937
13.95,932
13.95833,926
13.96667,921
13.975,915
13.98333,911
13.99167,908
14,907
14.00833,908
14.01667,909
14.025,911
14.03333,912
14.04167,909
14.05,905
14.05833,900
14.06667,895
14.075,893
14.08333,895
14.09167,897
14.1,898
14.10833,897
14.11667,894
14.125,890
14.13333,884
14.14167,878
14.15,872
14.15833,867
14.16667,863
14.175,861
14.18333,859
14.19167,857
14.2,856
14.20833,856
14.21667,856
14.225,855
14.23333,854
14.24167,854
14.25,856
14.25833,859
14.26667,863
14.275,865
14.28333,866
14.29167,866
14.3,865
14.30833,864
14.31667,865
14.325,867
14.33333,870
14.34167,873
14.35,875
14.35833,877
14.36667,879
14.375,881
14.38333,883
14.39167,884
14.4,885
14.40833,884
14.41667,885
14.425,887
14.43333,891
14.44167,895
14.45,898
14.45833,899
14.46667,900
14.475,900
14.48333,900
14.49167,900
14.5,900
14.50833,901
14.51667,900
14.525,899
14.53333,896
14.54167,893
14.55,891
14.55833,891
14.56667,892
14.575,894
14.58333,896
14.59167,897
14.6,896
14.60833,893
14.61667,888
14.625,882
14.63333,876
14.64167,871
14.65,867
14.65833,865
14.66667,863
14.675,862
14.68333,859
14.69167,856
14.7,852
14.70833,849
14.71667,848
14.725,849
14.73333,849
14.74167,845
14.75,839
14.75833,831
14.76667,822
14.775,816
14.78333,812
14.79167,810
14.8,810
14.80833,810
14.81667,811
14.825,811
14.83333,810
14.84167,808
14.85,805
14.85833,801
14.86667,798
14.875,796
14.88333,795
14.89167,797
14.9,799
14.90833,801
14.91667,803
14.925,804
14.93333,803
14.94167,801
14.95,799
14.95833,798
14.96667,798
14.975,799
14.98333,803
14.99167,807
15,811
15.00833,815
15.01667,819
15.025,824
15.03333,829
15.04167,835
15.05,841
15.05833,847
15.06667,853
15.075,861
15.08333,872
15.09167,884
15.1,895
15.10833,906
15.11667,914
15.125,922
15.13333,929
15.14167,938
15.15,947
15.15833,957
15.16667,970
15.175,984
15.18333,1001
15.19167,1021
15.2,1044
15.20833,1069
15.21667,1094
15.225,1121
15.23333,1146
15.24167,1170
15.25,1193
15.25833,1217
15.26667,1243
15.275,1270
15.28333,1298
15.29167,1325
15.3,1352
15.30833,1378
15.31667,1405
15.325,1434
15.33333,1466
15.34167,1501
15.35,1539
15.35833,1579
15.36667,1620
15.375,1660
15.38333,1700
15.39167,1739
15.4,1778
15.40833,1817
15.41667,1857
15.425,1899
15.43333,1942
15.44167,1988
15.45,2034
15.45833,2081
15.46667,2129
15.475,2174
15.48333,2218
15.49167,2264
15.5,2308
15.50833,2349
15.51667,2392
15.525,2438
15.53333,2485
15.54167,2535
15.55,2592
15.55833,2650
15.56667,2705
15.575,2757
15.58333,2809
15.59167,2860
15.6,2910
15.60833,2965
15.61667,3020
15.625,3071
15.63333,3120
15.64167,3169
15.65,3216
15.65833,3265
15.66667,3315
15.675,3364
15.68333,3414
15.69167,3467
15.7,3519
15.70833,3565
15.71667,3609
15.725,3652
15.73333,3694
15.74167,3737
15.75,3783
15.75833,3829
15.76667,3874
15.775,3916
15.78333,3956
15.79167,3996
15.8,4034
15.80833,4072
15.81667,4108
15.825,4142
15.83333,4173
15.84167,4202
15.85,4231
15.85833,4259
15.86667,4287
15.875,4313
15.88333,4341
15.89167,4368
15.9,4392
15.90833,4409
15.91667,4420
15.925,4429
15.93333,4436
15.94167,4445
15.95,4455
