mAb,Adimab PSR Score,Bead Assay Score
Rad,0.13,0.048663305
Ibal,0,0.057878367
Nata,0,0.377692834
Patri,0.52,0.520452913
Visi,0.42,0.59376105
Romo,0,0.196643993
Cren,0.1,0.03751841
Atel,0.07,0.0397519
Bren,0.25,0.478720706
Abit,0.17,0.22621984
Ixe,0.81,0.81
Ola,0.48,0.539050049
Mepo,0,0.151706012
Pani,0,0.0173611
Boco,0.76,0.910363112
Duli,0.33,0.243409953
Mat,0,0.24767284
Emi,0.64,0.497763142
Goli,0.23,0.15146258
Pina,0.01,0.120044804
Elot,0,0.007632597
Ficla,0,0.126267116
Gani,0.55,0.694390247
Tremel,0.15,0.141329196
