2.6.20,Elot,Cren,Abit,Duli,Emi,Ixe,Ibal,Mat,Trem,Goli,Visi,Patri,,2.6.20,Elot,Cren,Abit,Duli,Emi,Ixe,Ficla,Romo,Atel,Rad,Gani,Boco
15.26,0.000939214,0.002890608,0.189511049,0.189486831,1.196898704,1,0.001149025,0.284001704,0.088206452,0.0673672,1.253713815,0.465777622,,15.26,0.002565859,0.004528872,0.088176551,0.259347837,0.697494419,1,0.006491993,0.034318823,0.002119909,0.001013281,1.433362085,1.877850165
4.579,0.0012095,0.001542439,0.189496938,0.16556906,0.730274901,0.914789133,0.001104958,0.259588206,0.020005919,0.014599375,1.145423814,0.609987995,,4.579,0.002675586,0.003020778,0.105531819,0.237098253,0.697672298,0.91372549,0.004966179,0.029940831,0.001848375,0.001104603,1.37077867,1.792493339
1.526,0.000939214,0.001089005,0.18119174,0.151315729,0.698327022,0.764025602,0.001162232,0.158313639,0.002220833,0.002429341,0.914606846,0.583146623,,1.526,0.002535428,0.002511523,0.1009097,0.207123145,0.609736274,0.798492118,0.003798308,0.023890532,0.001752051,0.001049373,1.252577678,1.568101684
0.4579,0.000909119,0.000917381,0.092268091,0.088209503,0.533126462,0.50949618,0.001110513,0.02392732,0.000847004,0.001138981,0.557521699,0.389083598,,0.4579,0.00223478,0.00221568,0.022873635,0.138225311,0.509281639,0.557149689,0.002193789,0.015272364,0.001952627,0.001321854,0.913852447,0.999756848
0.1526,0.001149025,0.001390925,0.002030102,0.034289321,0.28403769,0.283985919,0.001767933,0.002323303,0.001400212,0.001292447,0.115541666,0.144661738,,0.1526,0.002558236,0.002675586,0.00332352,0.049128409,0.259406058,0.32477963,0.002444877,0.003789979,0.0029021,0.001899154,0.444967542,0.271266723
0.04579,0.002060499,0.002154928,0.002339307,0.008191572,0.003979382,0.016713402,0.002166025,0.002685871,0.002939156,0.003075088,0.003443838,0.004765256,,0.04579,0.005208074,0.005449375,0.005199121,0.015264483,0.004534337,0.015258472,0.004385547,0.004587577,0.005495214,0.00388541,0.012180798,0.028512889
0.01526,0.004276118,0.006580779,0.005362116,0.009205483,0.004095786,0.004864823,0.005326605,0.007810712,0.007068244,0.006760929,0.008159742,0.007534113,,0.01526,0.00968076,0.011171937,0.010127908,0.018356203,0.008158312,0.010127908,0.010310464,0.008766385,0.013697477,0.01044338,0.01236893,0.022912143
0,0.032172697,0.032172697,0.032172697,0.033865997,0.035559296,0.038945896,0.042332496,0.045719095,0.043433141,0.04986768,0.05308495,0.053621161,,0,0.063008394,0.070569401,0.068049065,0.063008394,0.063008394,0.063008394,0.063008394,0.060488058,0.060488058,0.060488058,0.060488058,0.060488058
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2.10.20,Elot,Cren,Abit,Duli,Emi,Ixe,Ibal,Mat,Trem,Goli,Visi,Patri,,2.10.20,Elot,Cren,Abit,Duli,Emi,Ixe,Ficla,Romo,Atel,Rad,Gani,Boco
15.26,0.004390196,0.008536439,0.01526431,0.310632027,0.697800553,1,0.002851324,0.061536973,0.009129574,0.003063269,1.093621736,0.425530517,,15.26,0.002726027,0.005463287,0.013906548,0.259410008,0.667155425,1,0.005702183,0.034215847,0.002749033,0.001374517,1.49979525,1.964560863
4.579,0.004542026,0.005674697,0.03282191,0.28387921,0.667191071,0.955772114,0.002465671,0.042907422,0.002612177,0.002078432,1.045698986,0.557266231,,4.579,0.002822341,0.003894758,0.023884845,0.248067705,0.697662532,0.955772114,0.004802999,0.034313725,0.00234567,0.001210668,1.49979525,2.054734557
1.526,0.003796926,0.004116158,0.080555694,0.259447661,0.637897622,0.873886223,0.002254425,0.011654778,0.001655821,0.001721196,0.956497531,0.667351381,,1.526,0.002579559,0.003031819,0.06437528,0.226687308,0.667227449,0.873886223,0.003971564,0.030004345,0.002069427,0.00126632,1.499310448,1.963950997
0.4579,0.003362531,0.003351803,0.035858065,0.207204203,0.532725872,0.667189953,0.002060906,0.003351803,0.001449428,0.001516069,0.7299389,0.532874902,,0.4579,0.002596216,0.002493452,0.016665942,0.173135351,0.609952913,0.697865353,0.00260842,0.022836491,0.002084376,0.001449212,1.252764023,1.33887824
0.1526,0.003289886,0.003289886,0.003442392,0.100965478,0.310595082,0.371841496,0.002495776,0.00260922,0.001969584,0.001658597,0.371868942,0.207227634,,0.1526,0.002579559,0.002596216,0.003062058,0.064319667,0.248040687,0.40684624,0.002610693,0.005957345,0.00325839,0.00225469,0.6672695,0.667155425
0.04579,0.004972814,0.005515518,0.005441763,0.022948465,0.005159538,0.013364438,0.004591488,0.004473787,0.005120335,0.003718928,0.003417743,0.005871358,,0.04579,0.004631255,0.004892094,0.00534131,0.017509455,0.005270388,0.014177281,0.00489445,0.004476938,0.006668801,0.004475474,0.037523119,0.034365836
0.01526,0.008641866,0.011082487,0.012393993,0.024867505,0.008623864,0.009861043,0.007671811,0.011506205,0.010048955,0.007944941,0.006631463,0.007643094,,0.01526,0.009994403,0.010463754,0.012042389,0.022644928,0.008790436,0.010521886,0.00878238,0.00878238,0.015072874,0.013137152,0.016011565,0.034435262
0,0.079688359,0.076940484,0.080787508,0.07790224,0.072131704,0.066361168,0.0634759,0.060590631,0.057705363,0.054820095,0.054820095,0.054668239,,0,0.073099415,0.066454014,0.066287879,0.069444444,0.073099415,0.073099415,0.07260101,0.07260101,0.07260101,0.075757576,0.075757576,0.07260101
,,,,,,,,,,,,,,,,,,,,,,,,,,
2.12.20,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elot,Cren,Abit,Duli,Emi,Ixe,Ibal,Mat,Trem,Goli,Visi,Patri,,2.12.20,Elot,Cren,Abit,Duli,Emi,Ixe,Ficla,Romo,Atel,Rad,Gani,Boco
15.26,0.005710886,0.004987826,0.021912635,0.355483196,0.667212897,1,0.004752206,0.064413386,0.004720469,0.004358719,1.197187561,0.667317081,,15.26,0.012146993,0.013950425,0.226740817,0.296967701,0.835550249,1,0.132170203,0.138260285,0.02500481,0.084308253,0.956166229,1.251851784
4.579,0.005191715,0.004140762,0.039228469,0.310625243,0.637884858,0.873870744,0.004964382,0.053809914,0.004348346,0.00379019,1.094120196,0.913981901,,4.579,0.008134147,0.011100326,0.207272303,0.248099022,0.835550249,1.046126615,0.132170203,0.198123524,0.02183151,0.077084366,0.914353942,1.252329749
1.526,0.004508859,0.003804803,0.047016493,0.237158377,0.557381829,0.835422103,0.004196939,0.018287668,0.002898897,0.003666819,0.913981901,0.874005582,,1.526,0.005909373,0.006531413,0.207272303,0.207206646,0.730057534,0.914047501,0.088132874,0.144589975,0.01118198,0.049105219,0.835322777,1.144823067
0.4579,0.004196939,0.004337602,0.011692513,0.115545984,0.445157848,0.637848024,0.003578521,0.004737738,0.00342144,0.00383616,0.637821287,0.637884858,,0.4579,0.004988943,0.005212686,0.144619581,0.126455083,0.582969715,0.730097622,0.056259853,0.088119212,0.003475124,0.013974517,0.798822765,0.956271245
0.1526,0.005497825,0.005682911,0.004988242,0.023893889,0.041028727,0.189429406,0.004973228,0.005200645,0.004752206,0.004752206,0.08055935,0.207262935,,0.1526,0.005966055,0.005751062,0.096451216,0.047059168,0.271472956,0.425578563,0.007132602,0.020970067,0.00323052,0.002674726,0.637881357,0.730019456
0.04579,0.01021388,0.009761605,0.008909553,0.020812631,0.008516362,0.010177205,0.00963023,0.008792818,0.00963023,0.012355937,0.008622488,0.01121002,,0.04579,0.010132823,0.009760976,0.018406412,0.020091692,0.092310946,0.043068295,0.006380488,0.007343316,0.006876494,0.005423415,0.096494222,0.144660181
0.01526,0.020970926,0.021923162,0.020812631,0.039434458,0.01817812,0.017371833,0.023976389,0.028702295,0.026278757,0.025346468,0.02094671,0.02002191,,0.01526,0.021765795,0.019181006,0.019181006,0.024018543,0.022777444,0.016393627,0.011908678,0.012459157,0.013510431,0.009590503,0.01832909,0.018844807
0,0.106502911,0.105158554,0.108444759,0.108444759,0.108444759,0.115017169,0.105158554,0.098144714,0.105158554,0.105158554,0.115017169,0.105158554,,0,0.180052469,0.174596333,0.141859521,0.130510759,0.119161998,0.107813236,0.107813236,0.102138855,0.100483827,0.094573014,0.106394641,0.094573014
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
