A11X,A11Y,B11X,B11Y,C11X,C11Y,D11X,D11Y,E11X,E11Y,F11X,F11Y,G11X,G11Y,H11X,H11Y
1058.60229,4857.55225,1119.29175,5407.84619,1115.56055,4615.46191,1213.94397,5366.46826,2063.31006,562.334045,922.536865,125.634674,241.148468,32.7825546,68.3188477,33.0686569
1384.11523,4895.854,1275.5752,5536.72314,105.91745,94.5925751,1265.88342,765.65741,1745.2002,4739.83301,777.995605,42.4861908,272.762787,31.1017036,60.8205795,13.5540962
1029.77759,5281.6748,1340.12695,6035.17285,1237.71423,5193.17383,1623.15369,4056.66821,1766.7771,3227.06689,540.721436,8.10623169,665.640808,36.8356705,58.221817,28.2764435
1117.09839,4386.854,1189.44641,5520.36768,1085.18604,4447.42432,1590.50232,5399.62061,1584.70874,4667.72314,1812.1958,1966.95325,784.242126,36.0012054,73.1587372,49.7698784
1197.18311,5496.46631,1112.84253,5082.64307,1255.5957,4971.44482,1115.46521,4967.88037,2006.63806,4981.01709,339.603424,64.5875931,157.630447,20.7304955,51.1288643,37.7058983
1120.79382,4435.21729,847.196594,5454.49268,1201.83228,5070.61475,1647.42468,5703.90234,1861.76294,4418.13477,578.355774,16.8085098,136.137009,11.7540359,53.0004501,38.9575958
946.569458,2829.74243,1225.78149,5347.40674,1206.85095,5051.29102,1575.42224,5870.13965,1753.6759,4589.23584,302.910797,19.4907188,589.060791,22.2206116,75.1972198,8.73804092
1144.26611,2325.59448,1116.02539,4526.05469,1316.44006,5469.98975,1662.13513,4591.25049,1518.01111,2859.71167,426.781189,48.1963158,555.074219,27.7280807,104.570389,26.5955925
934.135925,5732.79834,1033.75916,4743.21826,1147.86621,5211.94922,1493.06055,5388.2124,1104.83167,105.202194,351.476685,21.6960907,375.652313,21.2669373,71.5851746,17.7741051
1196.75403,4010.35547,1182.04358,6355.61963,1318.21631,5458.61719,1534.55737,5402.60059,1898.72986,4347.3125,479.650513,18.7754631,467.586517,40.1735306,64.9690628,40.2331352
1104.31909,2657.24658,1225.28076,4558.38428,1127.44568,5701.68506,1536.15479,5153.01221,1746.22534,4245.11426,1003.53955,105.869766,432.085999,13.9474869,62.8232956,46.1220741
1235.80688,5551.52881,1201.34351,5151.16455,1350.05713,4825.1748,1581.70459,4985.26074,1464.86755,1319.09851,916.838623,154.66214,150.108337,11.2533569,65.0644302,27.6446342
1182.21045,5166.61426,1142.776,5195.78467,1238.3938,5393.07617,979.065918,2577.56714,1144.12305,203.227997,583.183777,37.9681587,335.061554,22.7570534,58.4125519,48.4347343
962.781921,4705.48877,1107.45435,4751.94434,1389.20544,4974.09082,1471.8175,5958.91455,1375.5083,610.172729,408.017639,46.0147858,331.69986,41.9378281,77.9390335,26.7148018
1098.94275,5667.78174,1145.54163,5198.56201,1221.35876,5571.49658,1516.77136,1506.41199,1693.82092,1178.28845,612.485413,34.570694,168.693069,5.19752502,67.9731369,32.5202942
1145.35095,4960.35791,1280.82031,4442.72754,1210.24841,4080.77246,1656.74683,5047.05908,1708.00684,331.580627,1653.28979,1518.61902,355.839722,31.4116478,69.3798065,16.9038773
1123.40454,4579.1626,1282.68005,4158.2583,1131.36768,5391.56201,1447.49878,5217.67139,2130.13892,4251.33691,1081.04944,426.006317,271.022308,86.1883163,75.1018524,27.2989273
1145.55359,4331.63623,1006.5675,4395.78271,1168.35828,3623.7002,1575.46997,4929.19678,1678.45483,1828.78967,736.892212,38.7310982,633.323181,35.4647636,63.8365746,30.6367874
1085.09058,4905.85547,914.180298,4269.24219,1168.62061,5264.50879,1626.32471,4550.92188,1860.03442,3142.79785,497.770325,19.800663,342.404846,30.8871269,70.977211,47.647953
1082.99255,5146.9209,1287.26953,5209.69629,1176.89368,5210.33984,1763.97559,5307.76953,1472.04395,2701.0918,381.362427,10.073185,250.601776,27.3346901,93.6985016,38.4092331
1102.70972,5305.36182,1284.63501,2329.75488,1168.75171,5223.65576,1488.31604,5752.25342,1242.8761,677.943237,722.646729,44.7154045,230.669983,15.3303146,57.0893288,38.0992889
1020.86066,5003.5,1085.44824,4383.73096,1271.70081,4824.62646,1322.49597,4472.99463,1654.6488,4334.16357,222.253799,22.7689743,170.958038,17.8933144,75.5906067,32.377243
973.77301,5365.18115,1171.14783,5479.94385,1189.73254,4753.68506,1459.62244,5245.70947,1807.99963,4220.40234,293.35022,21.5530396,540.387634,23.7345695,77.1164856,22.5663185
1056.81421,5000.99658,1092.9823,5108.71387,1353.28772,5874.26416,1656.57996,5493.78418,1338.24353,1070.36829,412.654877,26.3214111,457.823273,39.8397446,57.4946404,40.2808189
1103.23425,5851.36426,1144.06348,5933.82129,405.693054,1497.73364,1667.82141,5418.51514,1313.24524,287.032135,1706.71936,2042.74658,620.56781,47.0638275,71.5374908,11.2891197
1129.50806,5260.24121,1062.15479,5144.26221,1308.72729,5299.47266,1524.7583,5143.2251,1798.40332,4032.05151,229.954712,6.05583191,159.227844,19.2165375,73.0991364,17.9648399
1033.23462,5105.44775,1297.95068,5259.46631,1220.6554,5186.99902,1266.30066,4970.84863,1739.99072,3990.32837,514.328491,20.5755234,346.446045,25.9637833,72.6938248,31.3639641
1047.14636,4452.65771,1309.38293,5217.12305,1342.66614,5725.87256,1450.6698,5361.40186,1676.13025,4621.42236,262.784973,14.102459,570.17804,44.4889069,63.4551048,60.2722168
1210.64185,5030.58447,1108.8252,4662.87158,1249.11072,5435.37158,1188.57617,4531.75293,1212.45386,615.215332,1694.16663,2564.52563,198.423859,25.4631042,66.3399658,33.5693359
1018.32153,3650.72485,1141.61963,2821.39771,1239.09717,4981.99463,1670.28906,5074.21484,1773.17859,4929.84033,1758.30127,4001.68896,442.32608,5.48362732,66.816803,23.6392021
982.832886,4843.64014,1322.2218,5226.88623,1086.22314,3634.52441,1871.09705,5720.54395,1781.14172,4538.29785,982.987854,59.4139099,303.709503,24.1041183,68.2234802,32.4726105
998.055908,4365.25342,1269.65051,5014.49121,1366.9491,5514.10938,1584.81592,3320.32446,1405.41797,708.091248,441.861145,31.5546989,427.639496,23.5676765,76.8542328,24.8789787
949.382813,4337.54932,1146.34033,4646.28955,1192.7605,2681.93481,1438.28394,5983.49561,761.425476,52.3686409,554.978821,18.3939934,155.258179,26.0472298,75.1256943,18.286705
1106.30994,4088.04419,1250.62463,5756.47363,1346.07556,5808.79443,1556.55151,4470.43164,1696.87268,3343.62988,1787.65063,2386.84424,460.112091,9.00030136,67.0075378,7.21216202
955.820068,4019.21265,1175.06982,5683.39844,1184.76147,4831.5166,1539.25415,963.306396,1386.57092,2111.32764,1527.76245,1927.07776,344.39563,14.603138,50.7354736,19.9556351
