,Adimab PSR Score,Binary Label,Clinical Status 2017,PSR Median MFI,Ovalbumin Median MFI,SCP Median MFI,Ribonuclease A Median MFI
Elot,0,0,0,0,0.0016861,0,0.00448682
Cren,0.1,0,1,0.003732283,0.004090124,0.004659826,0.014021312
Abit,0.17,0,2,0.064333852,0.044299167,0.271226023,0.028042625
Duli,0.33,1,1,0.395734005,0.002747262,0.14621361,0.006169378
Emi,0.64,1,2,0.510837322,0.959640012,0.59188919,0.03813797
Ixe,0.81,1,0,0.878313126,1,0.779887684,0.047672462
Ibal,0,0,1,0.000597418,0.004272717,0.000856511,0.00448682
Mat,0,0,2,0.066207185,0.021706755,0.122571243,0.014021312
Trem,0.15,0,2,0.054987292,0.012558273,0.104595321,0.025799215
Goli,0.23,0,0,0.003857577,0.065567364,0.052619659,0.021312395
Visi,0.42,1,1,0.739168049,0.875126398,0.437909662,0.051037578
Patri,0.52,1,1,0.53105592,0.162456072,0.367991442,0.123387549
Ficla,0,0,2,0.007077659,0.004634031,9.69E-05,0
Romo,0,0,1,0.018604069,0.005429725,0.000266711,0.014021312
Atel,0.07,0,0,0.000489531,0,0.000713016,0.044307347
Rad,0.13,0,2,0.000143015,0.000422056,4.93E-05,0.030286035
Gani,0.55,1,1,0.861533413,0.790612993,0.639162223,0.035333707
Boco,0.76,1,1,1,0.971280119,1,0.628715648
Mepo,0,0,0,0.000680947,0.003315799,2.46E-05,0.00224341
Nata,0,0,0,0.563230306,0.005236466,0.258173378,0.030286035
Pina,0.01,0,1,0.001808787,0.000732459,9.75E-05,0.023555805
Bren,0.25,0,0,0.589556775,0.009139468,0.494057454,0.00897364
Sim,0.34,1,2,0.266486695,0.778181806,0.609593995,0.088614694
Ola,0.48,1,2,0.462907725,0.465401468,0.729302581,0.028042625
Otler,0,0,2,0.009300335,0.00902994,0.001585479,0.152551879
Velt,0,0,2,0.000654514,0.002455397,7.23E-05,0.012338755
Brod,0.27,0,1,0.833317379,0.929619609,0.647192858,0.521031968
Ritux,0.38,1,0,0.608638322,0.929671646,0.835289732,0.123387549
Carl,0.21,0,2,0.650220587,0.0035087,0.06677183,0.00448682
Lenzi,0.66,1,2,0.625868463,0.913969309,0.349547621,1
