,Amgen AC-SINS,Viscosity,pI,Lina's A52NaCl,Lina's A52,,150mM NaCl,Plasmon_Wavelength,,,100mM NaCl,,,,50mM NaCl,,,,0mM NaCl,,
A46,-2,19.7,6.63,-0.208009975,12.53879313,,A46,528.2032364,0.12618839,,A46,528.2562861,-0.017309565,,A46,528.5581533,1.483861429,,A46,535.5542166,7.846897601
A45,-2,17.8,6.97,0.14857149,13.8849365,,A45,528.4431405,0.366092466,,A45,528.7269446,0.45334896,,A45,531.9616659,4.887374035,,A45,535.3970335,7.68971458
A15,46,180,8.31,,,,A15,540.6407368,12.56368876,,A15,539.6484992,11.37490353,,A15,538.1285322,11.05424035,,A15,528.4778865,0.770567551
A23,0,13.8,8.36,0.299758775,0.083466999,,A23,528.0914454,0.014397367,,A23,528.2150363,-0.058559407,,A23,528.3036985,1.229406581,,A23,528.0182842,0.310965215
A54,18,22.7,8.51,,,,A54,528.5087481,0.431700063,,A54,528.5570388,0.283443149,,A54,528.4139052,1.3396133,,A54,528.3395574,0.63223845
A12,0,9.9,8.52,,,,A12,528.1128041,0.035756046,,A12,528.3448719,0.071276216,,A12,527.2986978,0.224405934,,A12,528.0046495,0.297330522
A11,-2,14.6,8.54,,,,A11,528.2099236,0.132875567,,A11,528.13791,-0.135685656,,A11,528.0003132,0.926021277,,A11,527.9557441,0.248425121
A9,2,11.4,8.57,0.742758788,0.15305513,,A9,528.397239,0.320190997,,A9,528.5343928,0.260797125,,A9,528.4742598,1.399967888,,A9,528.1331829,0.425863988
A5,2,9.3,8.64,,,,A5,528.0355483,-0.041499713,,A5,528.2992206,0.025624907,,A5,528.1474672,1.073175306,,A5,527.8420708,0.134751833
A10,0,12.6,8.67,0.150775808,-0.459725354,,A10,528.1535857,0.076537609,,A10,528.255352,-0.018243633,,A10,528.2410544,1.166762522,,A10,527.9810709,0.273751939
A39,-2,8.4,8.69,-0.197391984,-0.156417984,,A39,528.0668489,-0.01019913,,A39,528.1024615,-0.171134121,,A39,528.1381408,1.063848913,,A39,528.2100716,0.502752672
A48,-2,10.4,8.69,-0.106465973,-0.138338159,,A48,527.9733888,-0.103659214,,A48,528.0829628,-0.190632887,,A48,528.1872551,1.112963195,,A48,528.0170296,0.309710643
A7,30,48.8,8.7,,,,A7,535.1218008,7.044752724,,A7,536.0063168,7.732721143,,A7,535.7680566,8.693764707,,A7,531.7180249,4.010705957
A3,2,8.9,8.72,,,,A3,527.9795517,-0.097496322,,A3,528.2145149,-0.059080723,,A3,528.1756604,1.101368518,,A3,527.9905134,0.283194416
A8,42,25.6,8.78,7.385637667,0.940122275,,A8,535.8650786,7.788030512,,A8,536.1556864,7.882090783,,A8,535.1540931,8.079801232,,A8,528.3575355,0.650216578
A22,2,6.1,8.84,0.20525537,-0.087903862,,A22,528.2645327,0.187484656,,A22,528.1166566,-0.156939052,,A22,528.1964063,1.122114455,,A22,527.922917,0.215598028
A19,18,10.8,8.84,,,,A19,528.1538118,0.076763779,,A19,528.4054604,0.131864724,,A19,528.2096273,1.135335458,,A19,527.9663856,0.259066641
A42,0,8.9,8.86,0.447348713,-0.156173355,,A42,528.4376019,0.360553811,,A42,528.3848945,0.111298815,,A42,528.2164328,1.142140889,,A42,528.060549,0.353230033
A55,2,9.4,8.86,0.437187504,-0.293246757,,A55,528.4258538,0.348805775,,A55,528.49658,0.222984367,,A55,528.2285244,1.154232508,,A55,528.1221846,0.414865618
A16,54,17.1,8.92,5.572071547,-0.078903374,,A16,533.856614,5.779565936,,A16,530.8382834,2.564687759,,A16,528.5631265,1.488834633,,A16,527.9482789,0.240959971
A18,40,26.4,8.92,,,,A18,532.4176482,4.340600156,,A18,531.1119838,2.838388146,,A18,528.6740683,1.599776428,,A18,527.9670636,0.259744652
A17,2,7.6,8.93,0.485584019,-0.419729725,,A17,528.3708968,0.293848707,,A17,528.3057576,0.032161958,,A17,527.3201242,0.245832286,,A17,527.8082482,0.100929236
A31,40,27.3,8.94,11.77566504,5.274795104,,A31,540.7,12.62295195,,A31,540.4710476,12.19745191,,A31,540.5686051,13.49431325,,A31,529.4197632,1.712444212
A6,50,15,8.97,,,,A6,528.7813006,0.704252548,,A6,528.7837231,0.510127468,,A6,528.4285808,1.354288907,,A6,528.1658912,0.458572282
A50,20,8.6,8.99,,,,A50,528.0594246,-0.017623487,,A50,528.2686772,-0.004918466,,A50,528.3406183,1.266326408,,A50,528.1510105,0.443691577
A20,6,5.5,9,,,,A20,528.2504165,0.173368476,,A20,528.3219289,0.048333231,,A20,528.2246234,1.15033149,,A20,528.1277116,0.420392681
A21,48,13.9,9,,,,A21,529.8023097,1.725261643,,A21,529.017549,0.743953328,,A21,528.1410799,1.066788066,,A21,528.1334962,0.426177212
A14,0,12,9.13,,,,A14,528.2117218,0.13467374,,A14,528.2986686,0.025072909,,A14,528.0867514,1.012459513,,A14,527.9928288,0.285509817
A1,36,10.9,9.18,4.920954416,4.367916449,,A1,528.1675299,0.090481851,,A1,528.1162084,-0.157387221,,A1,528.3451049,1.270812983,,A1,527.7700278,0.062708841
Ac,,,,0,0,,Ac,528.0770481,0,,Ac,528.2735957,0,,Ac,527.0742919,0,,Ac,527.7073189,0
CNTO,,,,10.85746992,13.62512284,,CNTO,541.3190073,13.2419592,,CNTO,539.1348403,10.86124469,,CNTO,539.5321267,12.45783481,,CNTO,540.3341069,12.62678798
HPC,,,,0.163371022,0.117079291,,HPC,528.1145682,0.037520168,,HPC,528.2393913,-0.034204409,,HPC,527.3434879,0.269196058,,HPC,528.0583346,0.351015639
NIST,,,,0.010199651,0.186068728,,NIST,528.0477691,-0.029278941,,NIST,528.3153253,0.041729606,,NIST,527.98168,0.907388141,,NIST,527.9411797,0.233860786
OMA,,,,0.890593233,12.01565266,,OMA,528.6112336,0.534185561,,OMA,529.9218217,1.648226051,,OMA,530.8794629,3.805170973,,OMA,533.2490415,5.541722554
Buffer,,,,,,,Buffer,528.5535504,0.476502398,,Buffer,528.8759472,0.6023515,,Buffer,528.5239281,1.449636186,,Buffer,528.606826,0.899507094
A60,,,,,,,A60,528.8426004,0.765552375,,A60,528.6887742,0.415178552,,A60,528.4795185,1.40522665,,A60,528.2197303,0.512411317
