,Plasmon_Wavelength,Rep 1,Rep 2,Rep 3,Average,STDEV,,,,,Adimab PSR Score,Fv pI,IgG pI,Normalized PSR Median MFI,Normalized SCP Median MFI,Normalized Ovalbumin Median MFI
Abit,532.8588318,1.289284812,1.097491106,0.998391887,1.128389268,0.147887443,,,,Abit,0.17,7.78,8.18,0.073247057,0.347775748,0.042685038
Atel,532.4435992,0.874052145,0.590343896,0.580076421,0.681490821,0.166842001,,,,Atel,0.07,7.87,8.2,0.000557354,0.000914255,-0.001688948
Boco,538.3268535,6.75730651,6.559915264,6.514212152,6.610477976,0.129194263,,,,Boco,0.76,9.3,8.76,1.138546118,1.282235918,0.971231613
Bren,530.7681232,-0.801423769,-0.999168678,-0.985745414,-0.928779287,0.110497136,,,,Bren,0.25,5.02,6.92,0.671237578,0.633498213,0.007465956
Brod,530.8970763,-0.672470753,-0.824956531,-0.91878411,-0.805403798,0.124315323,,,,Brod,0.27,9.02,8.58,0.948770267,0.829853929,0.92950074
Carl,533.008679,1.439132004,1.149563543,1.268767076,1.285820874,0.145535554,,,,Carl,0.21,5.72,7.56,0.740306125,0.085617239,0.001825678
Cren,535.07861,3.509063025,3.363524858,3.22973174,3.367439874,0.13970679,,,,Cren,0.1,6.98,8.05,0.004249376,0.005974996,0.002408084
Duli,531.4291837,-0.140363265,-0.222213717,-0.137790341,-0.166789107,0.048016356,,,,Duli,0.33,4.93,6.69,0.450561415,0.187480343,0.001062954
Elot,535.0530716,3.483524612,3.264593493,3.248425049,3.332181051,0.131316449,,,,Elot,0,5.87,7.85,0,0,0
Emi,531.0850904,-0.484456568,-0.398046475,-0.462513134,-0.448338726,0.044915047,,,,Emi,0.64,8.96,8.57,0.58161185,0.758941579,0.959571846
Ficla,532.1010015,0.531454508,0.51483445,0.294650672,0.446979877,0.132182436,,,,Ficla,0,6.34,7.83,0.00077529,0.000124291,0.00295291
Gani,531.2059458,-0.363601229,-0.442590307,-0.425985074,-0.410725537,0.041646833,,,,Gani,0.55,8.34,8.32,0.980895523,0.81955676,0.790259349
Goli,531.3109989,-0.258548146,-0.482166182,-0.451003893,-0.397239407,0.121116562,,,,Goli,0.23,8.82,8.5,0.004392029,0.067470817,0.063989156
Iba,531.9339499,0.364402938,0.250971756,0.456795166,0.357389953,0.103090763,,,,Ibal,0,6.78,8.01,0.000745194,0.001098249,0.002590985
Ixe,531.3377872,-0.231759766,-0.294441634,-0.308165836,-0.278122412,0.040733397,,,,Ixe,0.81,8.8,8.49,1,1,1
Lenzi,531.0642037,-0.505343319,-0.597971219,-0.544670967,-0.549328502,0.046489262,,,,Lenzi,0.66,9.43,8.82,0.712580109,0.448202515,0.913824008
Mat,535.2572252,3.687678184,3.551236984,3.513402626,3.584105931,0.091669343,,,,Mat,0,6.99,8.02,0.008058241,0.15716525,0.020054469
Mepo,531.4312571,-0.138289921,-0.165565936,-0.091273284,-0.131709714,0.037580897,,,,Mepo,0,8.34,8.32,0.02118159,3.15986E-05,0.001632451
Nata,531.526213,-0.043333966,-0.159703859,-0.128698049,-0.110578625,0.06026378,,,,Nata,0,8.55,8.39,-0.000614916,0.331039178,0.003556362
Ola,531.379345,-0.190202037,-0.288201715,-0.176627993,-0.218343915,0.060878139,,,,Ola,0.48,8.31,8.31,0.527041793,0.935137964,0.464498559
Otler,532.9028065,1.333259484,1.362233307,1.333705944,1.343066245,0.016600663,,,,Otler,0,8.31,8.31,0.000680188,0.002032958,0.007356243
Pani,532.8404099,1.270862854,1.277970495,1.562260369,1.370364572,0.166224629,,,,Pani,0,5.89,7.57,0.01058886,,-0.001426983
Patri,531.3883293,-0.181217726,-0.241152043,-0.239423003,-0.22059759,0.034114919,,,,Patri,0.52,8.3,8.31,0.604631656,0.471851845,0.161041504
Pina,531.3886913,-0.180855721,-0.253982941,-0.223461291,-0.219433318,0.036729634,,,,Pina,0.01,8.34,8.32,0.002059387,0.000125003,-0.000955252
Rad,531.1916501,-0.377896885,-0.440644972,-0.462078666,-0.426873508,0.043747948,,,,Rad,0.13,8.66,8.42,0.000162829,6.31971E-05,-0.001266179
Ritux,531.1109219,-0.458625135,-0.503500816,-0.489554986,-0.483893646,0.022967254,,,,Ritux,0.38,9.06,8.63,0.692962799,1.071038496,0.929552865
Romo,533.4858618,1.916314772,1.737739894,1.937945759,1.864000142,0.109878172,,,,Romo,0,5.45,7.58,0.019755246,0.000341986,0.003749948
Sim,531.7104374,0.140890392,0.154106002,0.326072814,0.207023069,0.103311638,,,,Sim,0.34,8.59,8.4,0.303407392,0.781643316,0.777807167
Tras,531.1012466,-0.468300362,-0.539313564,-0.564352298,-0.523988741,0.04982601,,,,Tras,0,8.61,8.41,0.075379934,,-0.001307043
Trem,531.1569421,-0.412604914,-0.493755398,-0.445786723,-0.450715678,0.040799157,,,,Trem,0.15,8.77,8.49,0.062605568,0.134115878,0.010890535
Velt,531.690308,0.120760971,0.025450981,0.014173682,0.053461878,0.058554849,,,,Velt,0,8.28,8.3,0.641263678,9.26926E-05,0.000770596
Visi,531.241078,-0.328469032,-0.427675969,-0.469134804,-0.408426602,0.072281522,,,,Visi,0.42,8.9,8.56,0.841576913,0.561503498,0.874915493
HPC,531.569547,0,0,0,0,0,,,,,,,,,,
NIST,531.063327,-0.506220015,-0.592093445,-0.510562498,-0.536291986,0.048374233,,,,,,,,,,
A,531.0250284,-0.038298567,-0.630606246,-0.645675406,,,,,,,,,,,,
C,531.8760539,0.812726882,0.355153815,0.395432774,,,,,,,,,,,,
D,531.6896261,0.626299092,0.033877449,-0.000926281,,,,,,,,,,,,
E,531.2667173,0.203390311,-0.41457272,-0.469283634,,,,,,,,,,,,
F,531.3998612,0.33653419,-0.230557201,-0.405702836,,,,,,,,,,,,
K,533.0202403,1.956913298,1.304213215,1.315025562,,,,,,,,,,,,
His,530.6291322,-0.434194778,-1.025768464,-1.042489866,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
A,0,0.006291261,0.013297163,,,,,,,,,,,,,
C,0.466504453,0.492454279,0.049378539,,,,,,,,,,,,,
D,0.358658331,0.340014863,0.003403513,,,,,,,,,,,,,
E,0.085485837,0.113650581,0.012896385,,,,,,,,,,,,,
F,0.221177043,0.178453037,0.034379028,,,,,,,,,,,,,
K,1,1.001963609,0.016476486,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Rep 1,,,,,,,,,,,,,,,,
A,531.0142535,0.005483743,,,,,,,,,,,,,,
C,532.9791433,0.438599865,,,,,,,,,,,,,,
D,,0.34372035,,,,,,,,,,,,,,
E,,0.128487526,1.000191669,0.993932142,,,,,,,,,,,,
F,,0.196249025,0.000203654,,,,,,,,,,,,,
K,,1.020915685,7.82119E-08,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Rep 2,,,,,,,,,,,,,,,,
A,530.6081864,-0.006583741,,,,,,,,,,,,,,
C,532.542007,0.503163698,,,,,,,,,,,,,,
D,,0.337028133,,,,,,,,,,,,,,
E,,0.105129587,0.999896931,0.995809275,,,,,,,,,,,,
F,,0.200286049,0.000225101,,,,,,,,,,,,,
K,,0.993932818,6.12937E-08,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Rep 3,,,,,,,,,,,,,,,,
A,530.748239,0.01997378,,,,,,,,,,,,,,
C,532.7673559,0.535599275,,,,,,,,,,,,,,
D,,0.339296107,,,,,,,,,,,,,,
E,,0.107334629,0.999840699,0.980405867,,,,,,,,,,,,
F,,0.138824037,9.73486E-05,,,,,,,,,,,,,
K,,0.991042326,3.48535E-08,,,,,,,,,,,,,
