Category,Score
0,
1,
2,0
2,0.019181586
2,-0.011508951
2,0.019181586
2,0.003836317
2,0.010230179
2,0.001278772
2,0.024296675
2,0.010230179
2,0.010230179
2,0.010230179
2,0.037084399
2,0.039641944
2,0.019181586
2,0.035805627
2,0.029411765
2,0.020460358
2,0.227621483
2,0.042199488
2,0.413043478
2,0.063938619
2.5,
3,0.966751918
3,0.643222506
3,0.02685422
3,0.115089514
3,0.043478261
3,0.175191816
3,0.040920716
3,0.296675192
3,1.723785166
3,1.601023018
3,1
4,
5,0
5,-0.02297593
5,-0.00547046
5,-0.003282276
5,0.02297593
5,0.008752735
5,-0.014223195
5,0.056892779
5,-0.008752735
5,-0.025164114
5,0.028446389
5,0.134573304
5,0.5404814
5,0.166301969
5,0.222100656
5,0.077680525
5,0.159737418
5,0.833698031
5,0.158643326
5,0.107221007
5,0.182713348
5.5,
6,0.915754923
6,1.001094092
6,0.182713348
6,0.387308534
6,0.144420131
6,0.338074398
6,0.399343545
6,0.773522976
6,2.006564551
6,1.927789934
6,1
7,
8,
9,0.00
9,0.00
9,0.00
9,0.01
9,0.02
9,0.00
9,0.00
9,0.01
9,0.02
9,0.08
9,0.64
9,0.00
9,0.00
9,0.00
9,0.00
9,0.06
9,0.07
9,0.74
9,0.00
9,0.67
9,0.95
9.5,
10,0.45
10,0.30
10,0.69
10,0.84
10,0.53
10,0.60
10,0.98
10,0.58
10,0.71
10,1.14
10,1.00
11,
12,0.00
12,0.00
12,0.00
12,0.00
12,0.00
12,0.00
12,0.00
12,0.00
12,0.00
12,0.16
12,0.33
12,0.00
12,0.00
12,0.01
12,0.00
12,0.42
12,0.35
12,0.09
12,0.07
12,0.63
12,0.83
12.5,
13,0.19
13,0.78
13,1.07
13,0.56
13,0.94
13,0.47
13,0.82
13,0.76
13,0.45
13,1.28
13,1.00
14,
15,-0.001795775
15,0
15,0.008861025
15,0.014252579
15,0.015503876
15,0.01951994
15,0.028645253
15,0.035163911
15,0.066818087
15,0.624840876
15,0.640330687
15,0.02075322
15,-0.0102344
15,0.073404771
15,0.018268643
15,0.030036645
15,-0.001795775
15,0.67541159
15,0.003735874
15,0.531213482
15,1.285123372
15.5,
16,0.930730797
16,0.418145665
16,0.930944709
16,1.176356773
16,1.025738736
16,0.040413255
16,3.139492222
16,1.219430368
16,1.528285914
16,1.127864415
16,1
17,
18,0.00
18,-0.02
18,0.03
18,0.04
18,-0.05
18,0.07
18,-0.07
18,-0.20
18,-0.02
18,-0.18
18,-0.02
18,-0.14
18,-0.19
18,-0.18
18,-0.18
18,-0.14
18,0.09
18,-0.11
18,-0.14
18,-0.10
18,0.58
18.5,
19,-0.19
19,0.14
19,0.66
19,0.49
19,0.35
19,-0.11
19,0.71
19,0.54
19,0.89
19,2.03
19,1.00
20,
21,0.00
21,0.00
21,0.00
21,0.02
21,0.00
21,0.00
21,0.01
21,0.00
21,0.00
21,0.00
21,0.00
21,0.00
21,0.00
21,0.00
21,0.00
21,0.01
21,0.04
21,0.00
21,0.06
21,0.01
21,0.93
21.5,
22,0.00
22,0.78
22,0.93
22,0.87
22,0.46
22,0.16
22,0.79
22,0.96
22,0.91
22,0.97
22,1.00
23,
24,
