Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A,Alexa 488-A,Alexa 647-A
1665.73523,44.631958,2594.20874,75.7217407,2670.78882,50.0559807,2730.60791,2884.60254,2284.27637,2796.1731,1659.91785,4660.68994,1375.401,14.3051147,1615.92957,326.025482,3321.94556,135.850906,2175.98682,46.9446182,1841.48547,3933.88281,1734.47131,2378.67822,1401.81775,85.5803528,1160.14478,88.3340836,2383.61353,10.2043152,2089.78662,15.7237053,1213.44324,3677.05811
1626.70618,12.6242638,2711.48682,83.0531158,2254.83179,19.3595886,2769.13647,1333.32019,2529.74023,3033.56641,1878.64307,5232.45313,1393.72351,21.0642815,1738.40527,398.659698,3138.22021,235.295288,2398.5625,24.7955322,2203.94141,3412.17529,1785.42139,2308.04688,1420.04492,99.6351242,1177.48975,64.3253326,2498.80542,30.5175781,2524.97192,16.2601471,1194.21484,4284.37012
1570.46313,19.6695328,3130.93652,59.9861145,2494.26367,30.1480293,2533.53125,2622.92627,2663.38599,3450.33398,1986.02673,5414.22363,1403.61792,7.42673874,2143.06128,138.640411,3405.07031,232.493881,2089.0354,35.4766846,1983.39221,3780.16235,1590.8241,2931.92871,1404.953,50.8069992,1173.37708,77.3668289,2360.71338,31.6977501,2467.16748,30.362606,1260.87671,5606.40088
1555.33557,36.1680984,2642.36938,54.7170639,2485.70435,64.7902527,2723.83691,3175.06787,2261.16187,3754.37744,2051.40112,5431.24658,1407.15833,7.97510147,2120.18481,168.28775,3258.8125,477.647766,2236.43774,15.7356262,1645.50537,4086.62549,1527.78625,2653.27686,1419.96143,82.5405121,1209.6167,62.8113747,2362.13208,13.6613846,2598.95313,37.1694565,928.938416,4631.31689
1844.14392,1.95503235,2634.84717,66.9002533,2516.48438,51.9871712,2272.6416,3181.23096,2244.17456,1912.97534,1624.05969,2183.30615,1330.78101,20.7662582,2089.94141,108.218193,2751.30273,148.642059,2552.49731,28.0618668,2019.41724,3848.45728,1887.20227,2532.91138,1490.59302,65.1955566,1129.46033,80.6212463,2068.18579,11.6586685,2592.20605,26.4406204,1012.21802,5357.33691
1794.93433,23.5319138,2647.23291,97.7158508,2410.99585,61.4881516,2722.52563,2555.66846,2629.94775,4355.62109,2078.54517,3638.95898,1548.32605,12.6242638,1569.7002,151.32428,3338.53955,224.614136,2374.41064,66.1849976,1790.22546,3012.53784,1783.43054,2645.28979,1209.54517,64.742569,1212.51343,69.1175461,2867.60327,22.3398209,2348.57788,27.3823738,946.30719,5283.15283
1879.15564,15.0918961,2931.34448,45.2041626,2953.56519,69.3678894,2474.74902,2870.22583,2692.58032,3501.99927,1690.34009,5225.41992,1460.31384,13.7329102,2108.2998,158.917908,2402.06714,151.205063,2155.70923,30.8871269,1757.3595,3987.68188,1800.23914,2814.11401,1265.10864,53.4415245,811.684143,74.7084656,2222.01343,7.18832016,2501.36841,15.2468681,932.621948,6368.76807
1453.20898,33.2713127,2565.90845,97.4178314,2329.70703,57.6257706,1985.78833,3393.82886,2619.64795,3362.8584,1669.81226,4837.91846,1421.86877,12.5646591,1775.58655,151.729584,2546.63232,280.487549,2090.13232,29.4804573,2118.64722,1194.38171,2036.48804,2907.38354,1249.19409,84.4120941,1379.71643,71.4421234,2071.92896,70.2023468,2250.23022,10.4308128,980.043396,4772.68701
1635.56335,21.9941139,2631.98608,66.9956207,2708.36353,53.0362129,2516.74658,2360.22461,2637.08838,3966.41504,1757.4906,5013.00098,1301.95618,34.7614288,2186.19116,117.230415,3317.45142,187.480453,2492.64233,12.0520592,2354.74121,3625.51221,819.063171,636.54187,1280.84424,76.3177872,1176.1427,65.8512115,2405.56006,29.0393829,2676.2605,23.5319138,1284.44434,4287.73145
1559.13831,42.2477722,3468.60889,97.9423523,2256.90601,57.9357147,2375.11401,2936.66113,1746.84521,2895.77246,1848.18506,4941.80908,1359.72498,29.3731689,2025.74731,135.838989,3253.80566,211.01236,2071.69067,29.8500061,1245.21252,2817.22534,1960.33716,2344.58447,1511.97913,89.4069672,1101.9707,73.6474991,2499.354,39.6847725,2393.9729,12.755394,1051.10413,4715.37109
