Sample,ANT Normalized Binding,PSY Normalized Binding
E14-002,0.605333371,0.851331573
E14-003,1.178589956,1.081845563
E14-004,1.497663659,0.813500938
E14-005,1.407028087,0.820071338
E14-010,0.915809852,0.826149154
E14-011,0.978864682,0.714095195
E14-013,0.823271548,0.813367036
E14-014,-0.002075393,0.63709904
E14-015,1.354452393,0.803883042
E14-017,0.467730464,1.066888875
E14-018,1.595139578,0.708621437
E14-019,0.574480683,0.765334781
E14-020,1.028692657,0.690410973
E14-021,0.003264123,0.409272856
E14-023,1.284127415,0.985682693
E14-025,1.295493057,0.662897818
E14-027,1.120698751,1.06150343
E14-029,1.146656017,0.988211668
E14-030,0.907187806,0.75540566
E14-031,1.308635652,0.921320522
E14-038,1.040015484,0.707709429
E14-040,0.881626852,0.683507395
E14-042,1.309127795,0.864644375
E14-045,0.84546259,0.416625214
E14-053,1.522301765,0.716210251
E14-056,0.961757951,0.806437311
E14-060,1.614862422,1.006067178
E18-001,0.008741392,0.6299327
E18-002,0.652627228,0.321888143
E18-004,-0.001257731,0.385127027
E18-005,0.805499353,0.579167339
E18-006,1.098335958,0.60425626
E18-007,0.060013979,0.525406183
E18-008,-0.003267599,0.60585142
E18-009,0.006313216,0.796144601
E18-010,-0.001499863,0.437966628
E18-011,-0.003041235,0.499175969
E18-012,0.011290123,0.685147169
E18-013,0.005753572,0.751910166
E18-014,0.913400703,0.716273554
E18-015,-0.000859164,0.656229738
E18-016,0.00022582,0.452419879
E18-017,-0.002139414,0.722249816
E18-018,-0.007207926,0.30247576
E18-019,0.004085221,0.663863557
E18-020,0.000169808,0.422166471
E18-021,0.001483144,0.571541927
E18-022,-0.002662895,0.584895418
E18-024,0.002659777,0.464187656
E18-025,-0.001947105,0.504220588
E18-026,0.029717305,0.558489824
E18-027,0.004173237,0.560142604
E18-028,0.005411934,0.524887769
E18-030,0.122959377,0.575585981
E18-031,0.001281256,0.481698311
E18-032,-0.000545299,0.467282229
E18-033,0.012775925,0.553490925
E18-034,-0.000390505,0.402683981
E18-037,0.001113023,0.403321877
E18-040,0.00377464,0.48924445
E24-001,0.003238301,0.421698894
E24-003,0.003265993,0.317331514
E24-004,0.001233064,0.332672477
E24-005,-0.001421792,0.43069784
E24-006,0.003436593,0.468257689
E24-007,-0.008428734,0.235812214
E24-010,0.001021989,0.423708475
E24-012,0.001072547,0.335473079
E24-013,-0.001344572,0.440463938
E24-015,0.001163225,0.294121152
E24-016,0.000344687,0.433967886
E24-018,0.002863609,0.670379733
E24-019,0.004505522,0.404368644
E24-020,-0.003641436,0.243562496
E24-021,0.003801323,0.454888225
E24-022,0.00219246,0.768198412
E24-023,-0.002152991,0.572206553
E24-024,4.99E-05,0.310957437
E24-025,0.005757066,0.337140596
E24-026,0.072499778,0.496924991
E24-028,0.007809054,0.495974351
E24-029,0.008209725,0.455784417
E24-030,-0.002809667,0.341843245
E24-031,0.005331337,0.492776546
E24-032,1.044484592,0.501304824
E24-033,0.000872187,0.522744307
E24-034,0.001533175,0.630137883
E24-035,-0.007635308,0.404563024
E24-036,-0.007115588,0.317470035
E24-037,-0.000877226,0.470191968
E24-038,0.005770936,0.573824449
E24-039,0.051814156,0.408548449
E27-001,1.185385016,0.598444177
E27-002,0.950148728,0.665391251
E27-003,1.077980295,0.497581594
E27-005,1.148331217,0.611622504
E27-008,0.915357488,0.466704263
E27-010,1.211584193,0.679656384
E35-002,0.6396174,0.651221274
E35-004,0.622905251,0.557079152
E35-006,1.118617215,0.602225174
E35-007,0.34854633,0.580088966
E35-008,0.964875723,0.425541894
E35-012,1.11591131,0.661500447
E37-001,0.583561962,0.518502705
E37-002,0.305430943,0.576817585
E37-003,0.039410582,0.49441288
E37-004,1.041641789,0.6741516
E37-011,0.36725114,0.504493586
E37-012,1.21816181,0.623300738
E39-002,0.951329891,0.652863485
E39-006,0.321241039,0.581703122
E39-009,1.513233547,0.752652305
E39-010,0.562914756,0.495113639
E39-011,1.038309357,0.494281801
E39-012,0.769282604,0.575902303
E41-001,0.790007803,0.475196965
E41-004,1.029590329,0.502505497
E41-006,1.125031961,0.551943626
E41-008,0.814482608,0.609459779
E43-001,1.487108946,0.658613921
E43-003,1.094591437,0.651996322
E43-005,1.079776339,0.620917889
E43-006,1.612289349,0.712756656
E43-007,0.910281361,0.640254579
E43-009,1.001923744,0.566632593
E43-011,1.183435245,0.618903028
E45-002,1.564398146,0.601412868
E45-005,0.951104283,0.581635233
E45-006,1.152054986,0.548171131
E45-009,1.463341815,0.610836121
E45-011,1.02021626,0.558968485
EM-01,1.137894738,0.590936018
EM-02,1.550089927,0.554336397
EM-03,0.368641718,0.481901397
EM-06,0.799671497,0.568222345
EM-08,0.879209546,0.48128936
E14-063,1.2265891,0.4400966
E14-064,1.0938421,0.5268422
E14-065,1.0676833,1.2304043
E14-066,0.9790168,0.3267956
E14-070,1.1277231,0.5008055
E14-071,1.2483077,0.3345066
E14-072,1.0493068,0.3116287
E14-073,1.165626,0.1971363
E14-077,1.2884566,0.2780014
E14-079,1.5033585,0.3044264
E14-083,1.6994258,0.4074418
E14-084,1.167631,0.4630938
E14-085,1.5133611,0.4788954
E14-088,1.2912469,0.649315
E14-089,1.13098,0.3080985
E14-091,1.5640994,0.4131606
E14-092,0.0024907,0.187426
E14-096,0.7138248,0.3579909
E14-098,1.5251687,0.2818212
E14-099,1.0931144,0.2794399
E14-100,1.2024328,0.3202688
E14-104,1.1434118,0.4887152
E14-105,1.1072543,0.3952583
E14-107,1.5889949,0.510736
E14-108,-2.17E-05,0.3259211
E14-110,1.0573958,0.6169716
