,ANT Binding,OVA Binding,SMP Binding
14.53,0.83,0,0.05
18.06,0.31,0.01,0.09
24.32,0.52,0.04,0.09
27.02,0.57,0.73,0.76
27.1,0.95,0.01,0.05
27.22,1.2,0.7,0.87
27.32,0.57,0.76,0.64
43.01,1.15,0.53,0.76
43.06,1.2,0.4,0.73
43.14,0.43,0.01,0.25
43.2,0.79,0.01,0.08
45.02,0.72,0.03,0.15
45.04,0.5,0.02,0.17
EM01,0.83,0.09,0.28
EM02,1.1,0.19,0.51
EM04,0.79,0.1,0.58
EM13,0.48,0.67,0.87
R2I1,1.1,0.74,0.82
R2I2,1.13,0.9,0.94
R2I3,1.08,0.67,0.87
R2I4,1.08,0.78,0.8
R2I5,1.11,0.75,0.71
R2I6,0.68,0.27,0.46
R2I7,1.08,0.99,0.55
R2I8,1.05,0.55,0.75
R2I9,1.05,0.12,0.38
R2I10,1.02,0.85,1.08
R2I11,0.99,0.54,0.82
R2I12,1.02,0.72,0.97
R2I13,1.08,0.51,0.88
R2I14,0.69,0.37,0.63
R2I15,0.8,0.43,0.89
R2I16,0.42,0.04,0.13
R2I17,0.49,0.13,0.34
R2I18,0.49,0.53,1.05
R2I19,0.43,0.2,0.53
R2I20,0.35,0.02,0.1
R2I21,0.38,0.02,0.03
R2I22,0.85,0.27,0.97
R2I23,0.57,0.05,0.4
R2I24,0.058,0.01,0
R1AR2A1,0.6,0.34,0.51
R1AR2A2,0.46,0.34,0.53
R1AR2A3,0.94,0.39,0.55
R1AR2A4,0.42,0.47,0.52
R1AR2A5,1.05,0.86,0.73
R1AR2A6,1.02,0.57,0.7
R1AR2A7,1.1,0.31,0.64
R1AR2A8,1.13,0.23,0.46
R1AR2M1,0.45,0.08,0.19
R1AR2M2,0.85,0.67,0.72
R1AR2M3,1.13,0.62,0.9
R1AR2M4,1.18,0.23,0.47
R1AR2M5,1.16,0.23,0.41
R1AR2M6,1.18,0.17,0.32
R1AR2M7,1.2,0.3,0.6
R1AR2S1,0.24,0.59,0.87
R1AR2S2,0.94,0.39,0.79
R1AR2S3,1.08,0.56,0.85
R1AR2S4,1.15,0.22,0.5
R2N1,1.18,0.25,0.56
R2N10,1.11,0.14,0.33
R2N11,1.16,0.3,0.58
R2N12,1.16,0.34,0.59
R2N13,1.16,0.29,0.59
R2N14,1.2,0.42,0.69
R2N15,1.24,0.62,0.76
R2N16,0.41,0,0.03
R2N17,0.16,0,0
R2N18,1.22,0.62,0.81
R2N19,1.2,0.54,0.75
R2N2,1.22,0.44,0.82
R2N20,1.28,0.3,0.6
R2N21,1.16,0.49,0.45
R2N22,1.24,0.76,0.89
R2N23,1.22,0.75,0.9
R2N24,1.03,0.52,0.67
R2N3,0.85,0.07,0.29
R2N4,1.03,0.2,0.41
R2N6,1.17,0.5,0.82
R2N7,1.13,0.23,0.42
R2N8,1.15,0.23,0.46
R2N9,1.16,0.18,0.35
ED1,1,0.2,0.57
ED2,1.03,0.26,0.66
ED4,1.02,0.3,0.62
ED5,1.1,0.21,0.56
ED6,1.08,0.39,0.73
ED7,1.13,0.39,0.69
ED10,0.77,0.76,1
ED12,0.28,0.07,0.13
ED14,0.66,0.34,0.44
ED15,1.02,0.24,0.4
ED16,1.02,0.17,0.43
ED17,0.84,0.57,0.93
ED18,1.06,0.32,0.59
ED3,1.05,0.3,0.67
ED9,1.13,0.4,0.87
ED13,0.76,0.36,0.62
INT200,0.58,0.08,0.2
INT201,0.56,0.75,1.1
INT202,1.05,0.61,0.96
INT203,0.99,0.16,0.3
INT204,0.45,0.51,0.97
INT205,0.89,0.12,0.47
INT207,0.54,0.07,0.27
INT209,0.94,0.43,0.64
INT211,1,0.37,0.68
INT212,0.97,0.5,0.88
INT213,0.68,0.45,0.77
INT214,0.38,0.03,0.15
R1AR2A6,1.02,0.57,0.7
R1AR2M2,0.85,0.67,0.72
R1AR2S2,0.94,0.39,0.79
INT210,,0.43,0.93
INT215,,0.01,0.03
INT216,,0.01,0.27
