Sample.Name,ANT Normalized Binding,PSY Normalized Binding
E14-002,0.605333371,0.304242921
E14-003,1.178589956,0.447051957
E14-004,1.497663659,0.172137567
E14-005,1.407028087,0.197590574
E14-010,0.915809852,0.143831484
E14-011,0.978864682,0.204246445
E14-013,0.823271548,0.177202883
E14-014,-0.002075393,0.159059844
E14-015,1.354452393,0.123496332
E14-017,0.467730464,0.211168282
E14-018,1.595139578,0.288339225
E14-019,0.574480683,0.245142632
E14-020,1.028692657,0.292159028
E14-021,0.003264123,0.099094455
E14-023,1.284127415,0.589248015
E14-025,1.295493057,0.204225631
E14-027,1.120698751,0.430362405
E14-029,1.146656017,0.168124848
E14-030,0.907187806,0.117037065
E14-031,1.308635652,0.098019957
E14-038,1.040015484,0.154841708
E14-040,0.881626852,0.139120571
E14-042,1.309127795,0.383152495
E14-045,0.84546259,0.271795697
E14-053,1.522301765,0.22172816
E14-056,0.961757951,0.249940873
E14-060,1.614862422,0.472852354
E14-063,1.2265891,0.337065533
E14-064,1.0938421,0.440096642
E14-065,1.0676833,0.52684224
E14-066,0.9790168,0.326795641
E14-070,1.1277231,0.500805512
E14-071,1.2483077,0.334506557
E14-072,1.0493068,0.311628715
E14-073,1.165626,0.19713631
E14-077,1.2884566,0.278001426
E14-079,1.5033585,0.304426407
E14-083,1.6994258,0.40744179
E14-084,1.167631,0.463093777
E14-085,1.5133611,0.478895415
E14-088,1.2912469,0.649314995
E14-089,1.13098,0.308098495
E14-091,1.5640994,0.413160607
E14-092,0.0024907,0.18742601
E14-096,0.7138248,0.357990898
E14-098,1.5251687,0.281821182
E14-099,1.0931144,0.279439919
E14-100,1.2024328,0.320268804
E14-104,1.1434118,0.488715245
E14-105,1.1072543,0.39525833
E14-107,1.5889949,0.510735962
E14-108,-2.17E-05,0.325921089
E14-110,1.0573958,0.616971615
E18-001,0.008741392,0.241794908
E18-002,0.652627228,0.32335325
E18-004,-0.001257731,0.092245119
E18-005,0.805499353,0.178592002
E18-006,1.098335958,0.151206715
E18-007,0.060013979,0.164222109
E18-008,-0.003267599,0.090402208
E18-009,0.006313216,0.325864416
E18-010,-0.001499863,0.074962992
E18-011,-0.003041235,0.117589509
E18-012,0.011290123,0.173862899
E18-013,0.005753572,0.178437439
E18-014,0.913400703,0.226918083
E18-015,-0.000859164,0.223372405
E18-016,0.00022582,0.132696542
E18-017,-0.002139414,0.170342306
E18-018,-0.007207926,0.159152327
E18-019,0.004085221,0.135425737
E18-020,0.000169808,0.102709615
E18-021,0.001483144,0.139685437
E18-022,-0.002662895,0.112424684
E18-024,0.002659777,0.071907987
E18-025,-0.001947105,0.092073582
E18-026,0.029717305,0.104989896
E18-027,0.004173237,0.15034457
E18-028,0.005411934,0.120359528
E18-030,0.122959377,0.32481123
E18-031,0.001281256,0.26648379
E18-032,-0.000545299,0.256205028
E18-033,0.012775925,0.216490222
E18-034,-0.000390505,0.185057075
E18-037,0.001113023,0.145269823
E18-040,0.00377464,0.194819689
E23-002,3.71E-05,0.310311228
E23-008,0.0002499,0.309003721
E23-012,0.6166578,0.272950486
E23-013,0.0466622,0.199586479
E23-014,0.1012842,0.278580509
E23-017,1.3223717,0.581307288
E23-018,0.8028175,0.336037764
E23-019,1.2797498,0.622438217
E23-020,1.0873162,0.395219595
E23-021,0.2292267,0.557523979
E23-022,1.0071213,0.360425437
E23-023,-0.0055102,2.394788208
E23-027,0.6386451,0.274323153
E23-030,0.9638543,0.214018788
E24-001,0.003238301,0.18406868
E24-003,0.003265993,0.160796665
E24-004,0.001233064,0.245752285
E24-005,-0.001421792,0.177791653
E24-006,0.003436593,0.242022724
E24-007,-0.008428734,0.122808198
E24-010,0.001021989,0.168156382
E24-012,0.001072547,0.138666367
E24-013,-0.001344572,0.170845891
E24-015,0.001163225,0.164647009
E24-016,0.000344687,0.140970239
E24-018,0.002863609,0.191413423
E24-019,0.004505522,0.117015943
E24-020,-0.003641436,0.134812339
E24-021,0.003801323,0.16896909
E24-022,0.00219246,0.290242004
E24-023,-0.002152991,0.21945561
E24-024,4.99E-05,0.140082076
E24-025,0.005757066,0.091380994
E24-026,0.072499778,0.495960685
E24-028,0.007809054,0.205301845
E24-029,0.008209725,0.293656535
E24-030,-0.002809667,0.08775904
E24-031,0.005331337,0.134918565
E24-032,1.044484592,0.113683326
E24-033,0.000872187,0.177992739
E24-034,0.001533175,0.190602997
E24-035,-0.007635308,0.084672365
E24-036,-0.007115588,0.04594115
E24-037,-0.000877226,0.097410998
E24-038,0.005770936,0.159382239
E24-039,0.051814156,0.201075571
E27-002,0.950148728,0.373146197
E27-003,1.077980295,0.199026242
E27-005,1.148331217,0.290334745
E27-008,0.915357488,0.204606218
E27-010,1.211584193,0.221913129
E27-014,0.799681761,0.47188301
EM-10,1.394878708,0.481056364
EM-11,0.90693587,0.500939615
E27-019,1.051275427,0.42852975
E27-022,1.678039529,0.377867828
E27-032,1.214666606,0.279690238
E43-001,1.487108946,0.382668904
E43-003,1.094591437,0.355860485
E43-005,1.079776339,0.18395314
E43-006,1.612289349,0.210936805
E43-007,0.910281361,0.31772561
E43-009,1.001923744,0.189001011
E43-011,1.183435245,0.295461809
E43-014,0.921677003,0.259950586
E43-020,1.397728795,0.1672156
E43-024,1.05213404,0.237590568
E43-025,0.955694103,0.373063358
E43-030,0.914742845,0.263082677
E43-032,0.912919156,0.289811708
E45-002,1.564398146,0.193564239
E45-004,1.452623163,0.290727699
E45-005,0.951104283,0.191035651
E45-006,1.152054986,0.201362009
E45-009,1.463341815,0.257636206
E45-014,1.005730696,0.299264648
E45-022,0.530188007,0.1879846
E45-023,1.21494241,0.274409685
E45-032,1.075074184,0.2532792
EM-001,1.137894738,0.173297566
EM-002,1.550089927,0.20091443
EM-004,1.185385016,0.138437725
EM-013,1.02021626,0.174027984
WT,1,1.033121374
