,VH Positive Charge,VH Negative Charge,VH HM
0,0.104347826,0.086956522,-0.736521739
1,0.113043478,0.07826087,-0.756521739
2,0.104347826,0.086956522,-0.776521739
3,0.113043478,0.095652174,-0.851304348
4,0.113043478,0.07826087,-0.707826087
5,0.113043478,0.07826087,-0.749565217
6,0.113043478,0.07826087,-0.748695652
7,0.104347826,0.095652174,-0.737391304
8,0.113043478,0.07826087,-0.714782609
9,0.113043478,0.07826087,-0.72173913
10,0.113043478,0.086956522,-0.786956522
11,0.104347826,0.07826087,-0.695652174
12,0.113043478,0.086956522,-0.799130435
13,0.095652174,0.086956522,-0.66
14,0.12173913,0.07826087,-0.834782609
15,0.113043478,0.07826087,-0.763478261
16,0.12173913,0.07826087,-0.793913043
17,0.113043478,0.07826087,-0.753913043
18,0.104347826,0.07826087,-0.726086957
19,0.113043478,0.07826087,-0.744347826
20,0.113043478,0.086956522,-0.811304348
21,0.113043478,0.086956522,-0.779130435
22,0.113043478,0.086956522,-0.817391304
23,0.113043478,0.086956522,-0.784347826
24,0.113043478,0.086956522,-0.791304348
25,0.113043478,0.086956522,-0.813043478
26,0.113043478,0.07826087,-0.802608696
27,0.104347826,0.095652174,-0.760869565
28,0.113043478,0.086956522,-0.774782609
29,0.104347826,0.104347826,-0.777391304
30,0.113043478,0.07826087,-0.740869565
31,0.113043478,0.086956522,-0.76173913
32,0.104347826,0.086956522,-0.72
33,0.095652174,0.086956522,-0.673913043
34,0.104347826,0.086956522,-0.716521739
35,0.104347826,0.095652174,-0.760869565
36,0.095652174,0.104347826,-0.737391304
37,0.095652174,0.086956522,-0.615652174
38,0.113043478,0.086956522,-0.74
39,0.104347826,0.086956522,-0.729565217
40,0.095652174,0.07826087,-0.600869565
41,0.095652174,0.095652174,-0.676521739
42,0.095652174,0.095652174,-0.668695652
43,0.095652174,0.104347826,-0.724347826
44,0.104347826,0.07826087,-0.666086957
45,0.113043478,0.086956522,-0.752173913
46,0.095652174,0.07826087,-0.64
47,0.113043478,0.07826087,-0.748695652
48,0.104347826,0.104347826,-0.773043478
49,0.104347826,0.086956522,-0.714782609
