,BSA_LC_HC,E,HI,pro_asa_hph,pro_asa_hyd,pro_cdr_net_charge,pro_net_charge,pro_dipole_moment,pro_hyd_moment,pro_patch_cdr_hyd,pro_patch_cdr_pos,pro_patch_cdr_neg,pro_patch_hyd,pro_patch_pos,pro_patch_neg,pro_pI_3D,pro_zeta,ASA_Hyd/Zeta
abituzumab,923.53259,-7746.6001,0.78055108,4150.4727,5057.6968,-2.4826233,1.0749531,515.52307,241.87558,180,170,190,370,490,370,7.6938477,6.987968,723.772
abrilumab,918.88654,-7127.6509,0.95268965,4052.8838,5359.3496,-6.1937718,-3.4091771,729.23071,266.84232,200,130,450,380,680,630,4.9575195,-22.383331,-239.435
adalimumab,734.3418,-8605.1055,1.2690182,4303.8438,5333.1738,-4.0738029,1.9444978,171.5582,323.62793,210,150,190,450,480,340,8.1040039,12.556414,424.737
alemtuzumab,944.6853,-8629.876,1.2076136,4124.5283,5320.2764,1.4080235,7.1952596,283.9884,474.44672,50,340,90,310,630,140,9.4956055,46.630669,114.094
alirocumab,767.76147,-8904.498,1.2270416,4397.4067,5394.8838,0.26563445,0.35375956,295.16083,634.58398,150,160,50,500,410,340,7.7231445,2.2532454,2394.273
anifrolumab,744.35773,-7944.1758,0.82059056,4354.0591,5298.9644,-4.1748505,-0.20833157,289.32553,224.01656,180,160,340,410,530,480,6.8735352,-1.3519856,-3919.394
atezolizumab,758.42291,-7422.2246,1.1667157,4037.8313,5370.5312,-0.50994831,0.16091964,174.91621,198.71693,460,0,130,730,430,270,7.6352539,1.058768,5072.434
bapineuzumab,750.65485,-8761.8848,0.67195767,4150.3164,5448.6753,0.45320675,2.2497187,565.79932,541.5069,130,160,140,410,330,340,7.840332,14.522435,375.19
basiliximab,745.74329,-7221.4028,0.47419119,3859.6787,5372.2642,-2.2191885,7.344368,292.79697,362.94037,70,160,90,180,370,240,9.3637695,48.341778,111.131
bavituximab,702.16223,-7532.1206,1.1752379,4398.2222,5331.1665,-3.014298,-0.95891511,285.53061,347.98087,140,170,0,290,410,420,6.5952148,-6.1366658,-868.74
belimumab,817.05573,-8638.2422,1.429696,4304.3862,5314.2109,2.9342408,-0.1535068,375.87283,408.92142,340,270,200,420,410,550,7.269043,-1.0023878,-5301.552
benralizumab,989.8761,-8247.9414,1.6180683,4123.4204,5448.583,-3.7031002,2.8751969,447.72775,362.24399,250,240,240,440,760,370,8.074707,18.601177,292.916
bevacizumab,759.22375,-7601.771,1.6020695,4278.8472,5580.2349,-6.4621663,-0.32684299,369.40512,335.61401,410,210,260,690,530,420,7.0493164,-2.082474,-2679.618
bimagrumab,722.85168,-7553.8354,0.40406656,4290.5513,5122.5449,0.69865656,8.7384233,328.32712,148.54173,180,90,0,280,370,140,9.6274414,57.24128,89.49
blosozumab,779.97681,-7346.7202,1.0879866,3942.7769,5652.6865,-7.2538071,-3.3068528,858.17206,425.27042,320,130,300,450,620,490,5.3637695,-21.249039,-266.021
bococizumab,877.1319,-8421.7676,1.6648167,3989.4497,5504.4492,1.6240504,8.4295282,306.36868,383.62411,310,240,50,410,680,160,9.6567383,54.497292,101.004
