name,PSR Score
ADI-14447,0.000
ADI-14460,0.000
ADI-14487,0.000
ADI-14485,0.000
ADI-14483,0.000
ADI-14501,0.000
ADI-14499,0.000
ADI-14506,0.000
ADI-14532,0.000
ADI-14516,0.000
ADI-14544,0.000
ADI-14562,0.000
ADI-15576,0.000
ADI-15603,0.000
ADI-15610,0.000
ADI-15621,0.000
ADI-15628,0.000
ADI-15631,0.000
ADI-15636,0.000
ADI-15638,0.000
ADI-15641,0.000
ADI-15652,0.000
ADI-15665,0.000
ADI-15565,0.000
ADI-15571,0.000
ADI-15569,0.000
ADI-15573,0.000
ADI-18959,0.000
ADI-18880,0.000
ADI-18883,0.000
ADI-18900,0.000
ADI-18889,0.000
ADI-18904,0.000
ADI-18920,0.000
ADI-18939,0.000
ADI-18948,0.000
ADI-15736,0.000
ADI-15753,0.000
ADI-15735,0.000
ADI-15759,0.000
ADI-15760,0.000
ADI-15763,0.000
ADI-15769,0.000
ADI-15778,0.000
ADI-15803,0.000
ADI-15814,0.000
ADI-15958,0.000
ADI-15960,0.000
ADI-15962,0.000
ADI-15964,0.000
ADI-16001,0.000
ADI-15830,0.000
ADI-15835,0.000
ADI-15900,0.000
ADI-15903,0.000
ADI-16030,0.000
ADI-16042,0.000
ADI-16059,0.000
ADI-24273,0.000
ADI-24292,0.000
ADI-24264,0.000
ADI-24361,0.000
ADI-24348,0.000
ADI-24336,0.000
ADI-24306,0.000
ADI-24376,0.000
ADI-24360,0.000
ADI-24326,0.000
ADI-24346,0.000
ADI-45471,0.000
ADI-45479,0.000
ADI-47104,0.000
ADI-45460,0.000
ADI-46698,0.000
ADI-45388,0.000
ADI-45455,0.000
ADI-46694,0.000
ADI-45466,0.000
ADI-45458,0.000
ADI-46682,0.000
ADI-45442,0.000
ADI-46675,0.000
ADI-46679,0.000
ADI-45371,0.000
ADI-14457,0.000
ADI-14442,0.000
ADI-14450,0.000
ADI-14441,0.000
ADI-14463,0.000
ADI-14464,0.000
ADI-14459,0.000
ADI-14462,0.000
ADI-14484,0.000
ADI-14473,0.000
ADI-14505,0.000
ADI-14500,0.000
ADI-14509,0.000
ADI-14504,0.000
ADI-14478,0.000
ADI-14518,0.000
ADI-14524,0.000
ADI-14545,0.000
ADI-14550,0.000
ADI-15590,0.000
