Sample ID,SEC rt,SEC rt area,SEC rt peak height,SEC peak assymetry,SEC stability,AC-SINS diffC,AC-SINS plasmon,AC-SINS shift,DSF onset,DSF Tm1,SEPAX rt,mAb-Pac HIC-20 pH 6 rt,BEH HIC pH 5.2 rt,Hep chrom conductivity,kD,Zeta,AS precip,Peg precip,BVP,Membran Prep,PEI Score,VL Subtype,VH Subtype
11879-1,2.768,92.36,1.23,,0.638,0.36,558,22,100,71.4,9.4,49.034,1.393,9.602,22.05473876,3.24,1.18,28,1.134215111,8.27123696,3.327868852,3,3
13542-1,2.516,99.07,0.77,4.45,0.704,0.29,574,38,83.4,66.2,8.4,36.511,1.311,3.759,1.702936835,5.04,0.73,23,1.84689413,2.406278435,1.853048226,3,3
8271-1,2.771,98.91,1.26,1.83,0.545,0.5,554,18,74.1,74.5,9.4,49.403,1.382,3.949,17.82752975,3.49,1.03,24,1.150139495,3.945805844,2.545711593,3,3
12255-1,2.794,99.38,1.2,1.88,0.328,0.69,550,14,100,71,9.8,42.335,1.397,11.566,38.433618,6.715,1.105,45,0.856585828,9.534195933,5.155268022,2,3
12256-1,2.773,99.17,1.26,1.88,0.508,1.81,536,0,100,72.1,9,40.324,1.392,9.311,38.4266892,6.08,0.95,45,1.053603118,4.158056581,3.309348093,2,3
3883-2,2.71,98.83,1.33,1.89,0.783,0.9,538,2,100,75.1,8.6,35.397,1.316,13.7,29.99670572,3.375,1.14,43,1.032217247,4.913181242,3.572243346,2,6
8268-1,2.912,99.28,1.3,1.54,0.411,1.72,536,0,100,75.9,9.8,52.069,1.401,6.11,39.12598464,5.02,1.105,43,0.961727575,6.229079498,3.128138075,1,3
8929-3,2.753,95.82,1.19,1.95,3.126,0.28,566,30,100,71.3,8.6,35.444,1.599,17.666,21.51677942,7.045,1.18,45,30.52610072,12.0420712,7.04368932,1,3
10821-1,2.722,98.84,1.11,1.83,0.842,0.83,536,0,64.5,65.4,8.5,40.862,1.315,3.47,-3.764334794,3.62,1.1,16,1.050345009,3.386002886,3.30952381,4,1
11872-1,2.649,98.81,1.28,1.82,0.582,3.54,534,-2,70,72.9,8.3,38.899,1.308,3.97,-9.381179345,4.205,1.18,15,1.101343174,4.874535316,1.655204461,4,1
