name,dipole_moment,hyd_moment,net_charge,pro_pI_3D
abituzumab.VL  abituzumab.VH,575.76947,273.09204,0.37222886,7.6352539
abrilumab.VL  abrilumab.VH,431.54865,265.50647,-3.3621652,4.8686523
adalimumab.VL  adalimumab.VH,260.65613,328.74973,1.9947345,8.1479492
alemtuzumab.VL  alemtuzumab.VH,516.88293,461.80441,6.5816331,9.4956055
alirocumab.VL  alirocumab.VH,612.13165,648.83331,0.27550986,7.7963867
anifrolumab.VL  anifrolumab.VH,218.86653,244.25348,-0.18295933,6.8588867
bapineuzumab.VL  bapineuzumab.VH,847.47491,525.90222,2.3589864,7.8696289
benralizumab.VL  benralizumab.VH,443.09338,343.62677,3.4529469,8.4116211
bevacizumab.VL  bevacizumab.VH,455.26178,300.15247,-0.14599928,7.1811523
brentuximab.VL  brentuximab.VH,479.28128,319.33618,-4.2415738,4.894043
brodalumab.VL  brodalumab.VH,573.35883,303.66406,5.4644251,9.1000977
canakinumab.VL  canakinumab.VH,479.4704,121.04295,2.1335607,7.7963867
certolizumab.VL  certolizumab.VH,249.27777,274.271,0.049964953,7.4594727
cetuximab.VL  cetuximab.VH,652.18671,288.77164,2.8031521,8.0893555
clazakizumab.VL  clazakizumab.VH,260.29489,360.85757,-1.071905,6.4047852
crenezumab.VL  crenezumab.VH,534.40839,290.20578,-0.12602304,7.0932617
dacetuzumab.VL  dacetuzumab.VH,393.59213,283.64706,5.0710759,9.4370117
daclizumab.VL  daclizumab.VH,491.76572,546.30756,3.535953,8.7192383
daratumumab.VL  daratumumab.VH,514.7901,210.01541,0.049117427,7.4155273
dinutuximab.VL  dinutuximab.VH,587.55524,323.00964,3.9332206,8.4702148
eculizumab.VL  eculizumab.VH,591.56897,417.10959,-2.548857,5.668457
efalizumab.VL  efalizumab.VH,358.99652,497.76407,3.3615994,8.6313477
eldelumab.VL  eldelumab.VH,498.45871,255.49876,1.2355931,7.7231445
elotuzumab.VL  elotuzumab.VH,265.22372,344.72079,-1.0228513,5.9223633
enokizumab.VL  enokizumab.VH,306.88397,288.33633,-0.045605369,7.2836914
epratuzumab.VL  epratuzumab.VH,373.69397,498.88214,3.7135777,8.5727539
evolocumab.VL  evolocumab.VH,336.69339,312.80673,1.1607735,7.605957
farletuzumab.VL  farletuzumab.VH,451.16272,169.43608,0.069719166,7.3862305
fasinumab.VL  fasinumab.VH,448.21301,334.01932,-1.3336823,5.8842773
fezakinumab.VL  fezakinumab.VH,854.70453,440.99796,-0.83504683,6.9614258
ficlatuzumab.VL  ficlatuzumab.VH,647.11902,354.49026,-1.2717041,7.2397461
fletikumab.VL  fletikumab.VH,293.57465,260.21198,0.13278371,6.3920898
fresolimumab.VL  fresolimumab.VH,124.03405,719.61499,-1.4723637,5.4399414
fulranumab.VL  fulranumab.VH,560.70428,95.439377,2.0499275,8.0600586
galiximab.VL  galiximab.VH,434.49112,397.13489,-2.5740771,6.0620117
gemtuzumab.VL  gemtuzumab.VH,155.16576,465.5697,0.024514623,7.3569336
gevokizumab.VL  gevokizumab.VH,295.75909,421.63666,4.4604917,9.1147461
girentuximab.VL  girentuximab.VH,530.73676,419.11597,2.955102,8.6899414
glembatumumab.VL  glembatumumab.VH,345.18665,434.70615,3.5523763,8.8217773
golimumab.VL  golimumab.VH,739.00488,319.69843,4.5022702,8.9389648
ibalizumab.VL  ibalizumab.VH,410.1257,515.1629,-0.30352587,6.7124023
ipilimumab.VL  ipilimumab.VH,588.26514,185.77902,4.5871849,9.1293945
lampalizumab.VL  lampalizumab.VH,732.80884,197.85913,-5.1965971,4.6655273
lebrikizumab.VL  lebrikizumab.VH,489.02243,324.85315,-2.6273243,4.8686523
lintuzumab.VL  lintuzumab.VH,294.34094,397.7124,2.8921013,8.4555664
lumiliximab.VL  lumiliximab.VH,423.1283,354.40079,1.2644975,7.7670898
matuzumab.VL  matuzumab.VH,449.75641,519.18823,0.54736078,8.0454102
mavrilimumab.VL  mavrilimumab.VH,357.6474,198.55876,-4.2516432,4.9321289
mepolizumab.VL  mepolizumab.VH,568.1665,266.1499,2.9807904,8.1479492
mogamulizumab.VL  mogamulizumab.VH,627.75195,146.83018,0.26719087,7.7084961
motavizumab.VL  motavizumab.VH,552.47052,352.40735,4.4527621,8.9682617
muromonab.VL  muromonab.VH,692.31287,543.89093,7.6339903,9.1879883
natalizumab.VL  natalizumab.VH,353.13611,548.85498,3.6642659,8.2358398
necitumumab.VL  necitumumab.VH,395.60754,138.37778,1.3042403,7.8110352
nimotuzumab.VL  nimotuzumab.VH,230.4101,292.98181,2.9569085,8.6020508
nivolumab.VL  nivolumab.VH,622.48181,372.45618,3.6527851,8.7192383
obinutuzumab.VL  obinutuzumab.VH,459.99301,360.05389,0.52450812,7.6206055
ocrelizumab.VL  ocrelizumab.VH,400.10022,327.14627,3.2292187,8.5581055
ofatumumab.VL  ofatumumab.VH,586.93365,227.84872,1.8883934,7.7670898
olaratumab.VL  olaratumab.VH,523.21204,602.10132,3.7240851,8.0454102
olokizumab.VL  olokizumab.VH,459.50671,619.87756,-2.0799797,5.1225586
omalizumab.VL  omalizumab.VH,399.29608,581.96979,-2.874114,5.5415039
onartuzumab.VL  onartuzumab.VH,232.89917,390.97659,2.0495119,8.1040039
otelixizumab.VL  otelixizumab.VH,683.24188,739.25623,-1.195526,5.871582
otlertuzumab.VL  otlertuzumab.VH,569.45038,426.10172,1.8862963,7.972168
palivizumab.VL  palivizumab.VH,530.4469,249.10078,4.72893,8.7924805
panitumumab.VL  panitumumab.VH,412.54788,334.44632,-2.2828987,5.8208008
panobacumab.VL  panobacumab.VH,360.134,676.35022,3.5479615,8.4262695
pembrolizumab.VL  pembrolizumab.VH,593.56006,406.77661,2.8715844,8.4848633
pertuzumab.VL  pertuzumab.VH,359.16083,203.42067,2.3059919,8.2944336
pinatuzumab.VL  pinatuzumab.VH,179.43294,387.85818,1.4236223,7.6791992
polatuzumab.VL  polatuzumab.VH,467.83542,377.1803,-4.0315666,5.0717773
radretumab.VL  radretumab.VH,551.89099,216.12132,2.5090346,8.1918945
ramucirumab.VL  ramucirumab.VH,440.49695,262.91241,2.294904,8.5874023
ranibizumab.VL  ranibizumab.VH,333.18521,295.802,-0.97109443,6.3286133
reslizumab.VL  reslizumab.VH,354.27145,195.94942,-0.2415956,7.0200195
rilotumumab.VL  rilotumumab.VH,264.85394,119.84354,3.145627,8.1333008
rituximab.VL  rituximab.VH,398.14371,400.05435,8.3115139,9.4516602
romosozumab.VL  romosozumab.VH,549.47156,478.18927,-2.0116851,5.059082
sarilumab.VL  sarilumab.VH,329.56586,193.86584,0.033889636,7.2836914
secukinumab.VL  secukinumab.VH,226.34773,342.49527,-0.15120149,7.034668
seribantumab.VL  seribantumab.VH,551.39777,223.88104,3.4472725,8.2797852
sifalimumab.VL  sifalimumab.VH,467.14548,162.70537,5.566637,9.3051758
siltuximab.VL  siltuximab.VH,370.54694,249.15382,1.2889749,7.7817383
tabalumab.VL  tabalumab.VH,435.02396,473.35684,4.5388851,8.9536133
tanezumab.VL  tanezumab.VH,353.0351,376.49915,3.065913,8.0893555
tigatuzumab.VL  tigatuzumab.VH,460.40112,235.00215,2.931689,8.1918945
tildrakizumab.VL  tildrakizumab.VH,446.09305,561.44049,2.7819023,8.4116211
tocilizumab.VL  tocilizumab.VH,510.21967,264.01221,6.5407381,9.5688477
tovetumab.VL  tovetumab.VH,446.73883,325.36185,6.6951571,9.144043
tralokinumab.VL  tralokinumab.VH,336.23386,439.97113,-2.7569616,5.3764648
trastuzumab.VL  trastuzumab.VH,456.51974,411.28702,2.2757959,8.309082
tremelimumab.VL  tremelimumab.VH,551.16089,352.15073,5.6137719,8.9243164
vedolizumab.VL  vedolizumab.VH,255.18187,417.36554,-0.44085279,6.9321289
veltuzumab.VL  veltuzumab.VH,239.32571,467.13422,2.7405958,8.2358398
zalutumumab.VL  zalutumumab.VH,575.81683,231.88052,3.5063953,8.675293
zanolimumab.VL  zanolimumab.VH,457.50507,152.90233,3.7661998,8.7338867
atezolizumab.VL  atezolizumab.VH,296.02087,183.96078,0.087494776,7.6206055
basiliximab.VL  basiliximab.VH,567.56348,366.44943,8.1894159,9.3198242
bavituximab.VL  bavituximab.VH,588.23834,364.71228,-0.96677041,6.5805664
belimumab.VL  belimumab.VH,629.42896,339.91507,0.070382476,7.4448242
bimagrumab.VL  bimagrumab.VH,485.61917,116.63208,7.8952022,9.6274414
blosozumab.VL  blosozumab.VH,560.84381,405.38614,-3.3254571,5.3510742
bococizumab.VL  bococizumab.VH,581.42218,390.9805,7.37888,9.612793
briakinumab.VL  briakinumab.VH,727.42731,771.16217,8.2928066,9.4516602
carlumab.VL  carlumab.VH,281.93179,398.30832,-1.3097867,7.0639648
cixutumumab.VL  cixutumumab.VH,468.09259,564.4411,-0.35237941,7.4155273
codrituzumab.VL  codrituzumab.VH,546.75201,500.72272,4.0536737,8.6459961
dalotuzumab.VL  dalotuzumab.VH,615.11285,430.30057,4.831284,8.7924805
denosumab.VL  denosumab.VH,723.7464,223.77455,3.0307267,8.7338867
drozitumab.VL  drozitumab.VH,459.83389,523.70117,-1.2620245,5.7319336
duligotuzumab.VL  duligotuzumab.VH,310.71957,356.52106,-5.2413392,5.0717773
dupilumab.VL  dupilumab.VH,681.16711,221.84676,0.057107493,7.6938477
emibetuzumab.VL  emibetuzumab.VH,655.23248,700.51831,5.4706378,9.1733398
etrolizumab.VL  etrolizumab.VH,515.66473,372.79102,0.39752632,7.6499023
figitumumab.VL  figitumumab.VH,439.07617,260.32877,3.1900568,8.4262695
foralumab.VL  foralumab.VH,843.5011,361.64368,7.3847427,9.5102539
ganitumab.VL  ganitumab.VH,674.71936,609.57111,3.6399698,8.2944336
gantenerumab.VL  gantenerumab.VH,855.47229,255.91708,6.7460656,9.0708008
guselkumab.VL  guselkumab.VH,436.87967,305.52234,2.5547678,8.8217773
imgatuzumab.VL  imgatuzumab.VH,463.71295,258.20099,6.5194168,9.1733398
infliximab.VL  infliximab.VH,832.5083,218.58138,-3.1381474,5.2114258
inotuzumab.VL  inotuzumab.VH,507.06494,507.83582,3.8062823,9.012207
ixekizumab.VL  ixekizumab.VH,363.96182,292.99472,4.9782391,8.8217773
lenzilumab.VL  lenzilumab.VH,644.91058,244.78996,9.3609018,9.715332
