,All Mutations,LO 7,LO 6,LO 5,LO 4,LO 3,LO 2,LO 1,LO 0
0,-0.829439808,-2.082245965,-3.423900151,-1.661181336,-3.534600756,-0.797772786,0.81200782,-0.834511877,-1.055523507
1,-2.043573145,-2.449525327,-4.559802311,-2.544485952,-2.846983289,-1.036737272,-0.28282532,-1.819931987,-1.853953357
2,-1.455504,-2.16147798,-5.294689979,-2.313278856,-3.002539146,-0.759021681,-0.623250621,-1.843004076,-2.251737668
3,-1.123791297,-2.186681093,-4.085278678,-1.748634639,-0.59081137,-0.285247136,-2.016896337,-1.66252041,-1.64185035
4,0.025482255,0.90513829,-0.851897854,-0.964989884,-0.320224291,-0.859514658,0.60612907,1.195253886,-1.15176707
5,-1.11081435,-2.003054043,-3.218097083,-1.48368409,-1.884774252,-1.156190732,0.376927041,-0.58908481,-0.14658294
6,-1.310718466,-1.292062398,-3.966609744,-1.258562806,-1.194904335,-1.314121243,-1.761098745,-1.225976863,2.635697944
7,0.065072195,0.136954813,-1.283835461,-0.155864903,1.271152734,2.001512588,0.778078848,1.117920759,5.175244791
8,-2.224160328,-2.903110336,-5.473540841,-3.141711721,-2.69389622,-2.642509848,-2.381985209,-3.105105995,-1.986888114
9,-0.990171566,-0.300066388,-3.289061601,-0.087052027,-1.329440094,-0.087059499,-0.286188712,-1.653505846,2.974727827
10,-1.613115793,-2.368423135,-4.667008531,-2.61955822,-2.239920068,-2.01925183,-1.840371097,-1.718614038,-1.489810509
11,-2.127589071,-2.742287328,-3.002499056,-1.82291587,-2.29370034,-1.368165519,-4.408104796,-2.023120166,-1.994907475
12,-1.795399868,-0.463284883,-5.121509907,-1.668022282,-1.446239842,-0.398350384,-1.626557643,-0.700527828,-1.748379089
13,0.886714519,-0.18727124,-3.373531642,1.44026922,1.263521811,2.290939163,-1.088778829,0.631654191,4.214165585
14,-3.037080497,-2.713753633,-6.066086118,-2.97533288,-3.086002907,-3.049457582,-3.039441161,-2.631627699,-2.487735112
15,-2.10993237,-1.703550615,-6.03328426,-2.236836589,-2.379183474,-2.508235996,-2.512400168,-2.450038311,-2.042462731
16,-1.755326798,-2.528394089,-4.729754857,-2.044394224,-4.939051748,-1.698244219,-1.235392262,-0.827178366,-1.124282066
17,-2.294268995,-2.313243749,-4.598565301,-2.268065077,-2.505304239,-1.109375186,-3.029260691,-1.732165803,0.953935319
18,-1.918995338,-2.676455464,-5.385668066,-2.180640202,-3.582785545,-1.422234175,-3.474592889,-1.898104627,-2.097167639
19,-0.826358017,-0.473463476,-1.146046965,-0.929980019,-1.313199777,-1.230652374,-0.454919204,-0.411629204,-1.717223858
20,-1.258825352,-1.642465927,-3.904437041,-1.253840131,-1.008303684,-0.000822105,-1.4804061,-1.309817549,1.970689648
21,-2.005918713,-2.031365133,-4.847222133,-2.764761714,-2.379940118,-2.022248094,-1.771931925,-1.698040165,-1.69531322
22,-1.722513343,-1.339930147,-4.00228926,-1.720054002,-2.321900188,-0.706885953,-2.111714587,-0.599702455,-1.724136778
23,-1.254632806,-0.784846384,-4.789143542,-1.287223221,-0.80903177,-0.051860054,-1.819651461,-1.566218076,-1.719400985
24,-2.077865349,-2.000932892,-5.625739655,-3.236825968,-2.13798516,-1.273667835,-1.181401655,-1.876668336,-2.580502768
25,-1.502630573,-1.706987792,-3.708673244,-2.32329262,-1.666496562,-0.508784955,-0.98893188,-0.414945447,-0.578589402
26,-2.964954494,-3.853289288,-4.894167939,-3.421010383,-3.040477986,-2.941658158,-3.134630529,-2.79574212,-3.186043301
27,0.105907131,-0.268531162,-1.695923197,0.503515578,0.597584186,1.460364781,0.831353972,0.323953722,4.052731105
28,-1.293656409,-1.621165071,-3.395158168,-1.874900299,-1.222633331,-0.611043708,-2.359362012,-0.904052039,-0.541085968
29,1.212240455,0.657565212,-1.698891561,-0.147503275,-0.258607547,3.07655378,1.072234244,3.083661556,3.443608361
30,-2.126904001,-2.279308797,-5.115415959,-1.811772264,-4.480883708,-1.202192853,-3.353218773,-1.643122516,-1.610082417
31,-0.994687685,-1.490776659,-4.191864207,-1.688287335,-1.34899846,-1.671403185,-1.172184399,-1.36194884,-0.287646636
32,-0.805900924,-1.745242396,-3.396917661,-0.355428886,-0.383904663,-0.51300186,-0.015153697,-1.638671198,-0.536475455
33,0.869110835,0.290438327,0.813680458,2.803427001,2.311485231,2.757766698,1.264177844,1.932112069,1.96186605
34,2.113093745,2.805672866,1.834415214,3.255963196,4.209023665,4.711902563,2.067824828,2.591556833,5.047417973
35,0.216785965,-0.538045343,-4.05849585,-1.467119937,-0.070814209,0.870805508,-1.737182211,1.057614872,-1.318666759
