Antibody,VH Positive Charge,VH Negative Charge,VH HM,VH pI,VH Charged,VH Polar,VH Hydrophobic,VH Aromatic,VH Amphipathic,VH Atoms,VH Bond A,VH Bond D,VL Positive Charge,VL Negative Charge,VL HM,VL pI,VL Charged,VL Polar,VL Hydrophobic,VL Aromatic,VL Amphipathic,VL Atoms,VL Bond A,VL Bond D,CDR Positive Charge,CDR Negative Charge,CDR HM,CDR pI,CDR Charged,CDR Polar,CDR Hydrophobic,CDR Aromatic,CDR Amphipathic,CDR Atoms,CDR Bond A,CDR Bond D
abituzumab,0.0847457627118644,0.0847457627118644,-0.5338983050847456,5.965254237288134,0.1694915254237288,0.3305084745762712,0.4067796610169492,0.13559322033898305,0.13559322033898305,3.7542372881355934,0.3813559322033898,0.3389830508474576,0.09345794392523364,0.06542056074766354,-0.632710280373831,6.0336448598130845,0.1588785046728972,0.37383177570093457,0.3925233644859813,0.12149532710280374,0.09345794392523364,3.7383177570093458,0.38317757009345793,0.38317757009345793,0.1076923076923077,0.07692307692307693,-0.729230769230769,6.00307692307692,0.18461538461538463,0.3384615384615385,0.36923076923076925,0.2153846153846154,0.16923076923076924,4.3076923076923075,0.4,0.36923076923076925
abrilumab,0.0847457627118644,0.11016949152542373,-0.492372881355932,5.880508474576272,0.19491525423728814,0.3220338983050847,0.4152542372881356,0.1016949152542373,0.1016949152542373,3.5847457627118646,0.3813559322033898,0.3389830508474576,0.07476635514018691,0.06542056074766354,-0.5196261682242987,5.985981308411215,0.14018691588785046,0.3644859813084112,0.42990654205607476,0.11214953271028037,0.07476635514018691,3.5981308411214954,0.3364485981308411,0.3177570093457944,0.046153846153846156,0.09230769230769231,-0.4630769230769232,5.747692307692304,0.13846153846153847,0.38461538461538464,0.4153846153846154,0.13846153846153847,0.07692307692307693,3.6153846153846154,0.36923076923076925,0.3076923076923077
adalimumab,0.09090909090909091,0.09917355371900827,-0.46280991735537186,5.936363636363638,0.19008264462809918,0.2975206611570248,0.4380165289256198,0.11570247933884298,0.10743801652892562,3.7024793388429753,0.34710743801652894,0.2892561983471074,0.102803738317757,0.056074766355140186,-0.713084112149532,6.15981308411215,0.1588785046728972,0.34579439252336447,0.4205607476635514,0.102803738317757,0.08411214953271028,3.663551401869159,0.34579439252336447,0.3364485981308411,0.10294117647058823,0.08823529411764706,-0.6691176470588235,5.977941176470585,0.19117647058823528,0.3235294117647059,0.39705882352941174,0.14705882352941177,0.1323529411764706,3.838235294117647,0.39705882352941174,0.35294117647058826
alemtuzumab,0.09917355371900827,0.0743801652892562,-0.5363636363636363,6.08099173553719,0.17355371900826447,0.3140495867768595,0.4462809917355372,0.12396694214876033,0.09090909090909091,3.793388429752066,0.3305785123966942,0.2975206611570248,0.11214953271028037,0.06542056074766354,-0.7785046728971955,6.110280373831774,0.17757009345794392,0.38317757009345793,0.3925233644859813,0.09345794392523364,0.06542056074766354,3.7663551401869158,0.3364485981308411,0.34579439252336447,0.16176470588235295,0.08823529411764706,-1.0941176470588234,6.189705882352938,0.25,0.3382352941176471,0.36764705882352944,0.14705882352941177,0.08823529411764706,4.176470588235294,0.3235294117647059,0.3382352941176471
alirocumab,0.09322033898305085,0.07627118644067797,-0.4915254237288135,6.016949152542371,0.1694915254237288,0.3135593220338983,0.4491525423728814,0.11016949152542373,0.09322033898305085,3.5762711864406778,0.3135593220338983,0.2796610169491525,0.07964601769911504,0.07964601769911504,-0.662831858407079,5.9752212389380555,0.1592920353982301,0.35398230088495575,0.39823008849557523,0.12389380530973451,0.09734513274336283,3.849557522123894,0.36283185840707965,0.3185840707964602,0.08450704225352113,0.056338028169014086,-0.8676056338028167,5.991549295774644,0.14084507042253522,0.4225352112676056,0.323943661971831,0.16901408450704225,0.1267605633802817,3.9014084507042255,0.39436619718309857,0.38028169014084506
anifrolumab,0.10256410256410256,0.09401709401709402,-0.47692307692307684,6.011111111111111,0.19658119658119658,0.27350427350427353,0.4358974358974359,0.1282051282051282,0.1282051282051282,3.7948717948717947,0.3504273504273504,0.3247863247863248,0.08333333333333333,0.08333333333333333,-0.6046296296296292,6.029629629629631,0.16666666666666666,0.3333333333333333,0.4444444444444444,0.10185185185185185,0.05555555555555555,3.611111111111111,0.37037037037037035,0.3055555555555556,0.07692307692307693,0.09230769230769231,-0.5692307692307693,5.89230769230769,0.16923076923076924,0.3230769230769231,0.4153846153846154,0.18461538461538463,0.1076923076923077,3.8923076923076922,0.4153846153846154,0.3384615384615385
bapineuzumab,0.10084033613445378,0.07563025210084033,-0.6218487394957981,6.067226890756303,0.17647058823529413,0.31092436974789917,0.42016806722689076,0.12605042016806722,0.11764705882352941,3.689075630252101,0.35294117647058826,0.31092436974789917,0.10714285714285714,0.09821428571428571,-0.5830357142857141,6.033928571428572,0.20535714285714285,0.30357142857142855,0.44642857142857145,0.08928571428571429,0.0625,3.669642857142857,0.3392857142857143,0.3125,0.14084507042253522,0.08450704225352113,-0.932394366197183,6.105633802816899,0.22535211267605634,0.36619718309859156,0.323943661971831,0.15492957746478872,0.1267605633802817,3.887323943661972,0.4507042253521127,0.4507042253521127
benralizumab,0.12396694214876033,0.08264462809917356,-0.6438016528925615,6.152066115702479,0.2066115702479339,0.2809917355371901,0.4132231404958678,0.12396694214876033,0.12396694214876033,3.8264462809917354,0.35537190082644626,0.33884297520661155,0.08411214953271028,0.07476635514018691,-0.5831775700934574,5.977570093457945,0.1588785046728972,0.37383177570093457,0.40186915887850466,0.11214953271028037,0.08411214953271028,3.7289719626168223,0.38317757009345793,0.3644859813084112,0.11764705882352941,0.08823529411764706,-0.816176470588235,6.039705882352939,0.20588235294117646,0.3088235294117647,0.35294117647058826,0.19117647058823528,0.16176470588235295,4.294117647058823,0.4117647058823529,0.38235294117647056
bevacizumab,0.08943089430894309,0.07317073170731707,-0.38699186991869916,6.003252032520327,0.16260162601626016,0.2926829268292683,0.43089430894308944,0.17073170731707318,0.14634146341463414,3.894308943089431,0.34959349593495936,0.3252032520325203,0.07476635514018691,0.06542056074766354,-0.5084112149532706,5.946728971962617,0.14018691588785046,0.40186915887850466,0.3925233644859813,0.12149532710280374,0.08411214953271028,3.7009345794392523,0.3925233644859813,0.38317757009345793,0.08571428571428572,0.05714285714285714,-0.5142857142857142,5.905714285714282,0.14285714285714285,0.4,0.3142857142857143,0.24285714285714285,0.2,4.371428571428571,0.44285714285714284,0.45714285714285713
brentuximab,0.07692307692307693,0.05982905982905983,-0.36324786324786307,5.976923076923076,0.13675213675213677,0.3333333333333333,0.41025641025641024,0.1623931623931624,0.1282051282051282,3.8205128205128207,0.3418803418803419,0.358974358974359,0.07207207207207207,0.11711711711711711,-0.5513513513513512,5.810810810810811,0.1891891891891892,0.3153153153153153,0.44144144144144143,0.0990990990990991,0.07207207207207207,3.5945945945945947,0.34234234234234234,0.27927927927927926,0.058823529411764705,0.11764705882352941,-0.6838235294117647,5.686764705882349,0.17647058823529413,0.3235294117647059,0.3235294117647059,0.23529411764705882,0.19117647058823528,4.220588235294118,0.4264705882352941,0.36764705882352944
brodalumab,0.10344827586206896,0.0603448275862069,-0.6724137931034482,6.141379310344824,0.16379310344827586,0.33620689655172414,0.3879310344827586,0.12931034482758622,0.13793103448275862,3.836206896551724,0.3620689655172414,0.3448275862068966,0.07476635514018691,0.07476635514018691,-0.5439252336448593,5.997196261682244,0.14953271028037382,0.34579439252336447,0.4485981308411215,0.102803738317757,0.06542056074766354,3.560747663551402,0.34579439252336447,0.29906542056074764,0.09523809523809523,0.047619047619047616,-0.9682539682539681,6.130158730158727,0.14285714285714285,0.3968253968253968,0.31746031746031744,0.1746031746031746,0.14285714285714285,4.142857142857143,0.3968253968253968,0.36507936507936506
canakinumab,0.09322033898305085,0.0847457627118644,-0.5508474576271185,6.038983050847455,0.17796610169491525,0.2627118644067797,0.4576271186440678,0.13559322033898305,0.11864406779661017,3.830508474576271,0.2966101694915254,0.23728813559322035,0.102803738317757,0.08411214953271028,-0.5859813084112145,5.997196261682244,0.18691588785046728,0.37383177570093457,0.411214953271028,0.102803738317757,0.04672897196261682,3.6448598130841123,0.37383177570093457,0.37383177570093457,0.09230769230769231,0.07692307692307693,-0.5692307692307693,5.929230769230768,0.16923076923076924,0.35384615384615387,0.4,0.18461538461538463,0.12307692307692308,3.9384615384615387,0.4,0.36923076923076925
certolizumab,0.07627118644067797,0.0847457627118644,-0.3728813559322033,5.967796610169491,0.16101694915254236,0.2542372881355932,0.4661016949152542,0.1440677966101695,0.15254237288135594,3.73728813559322,0.3389830508474576,0.2796610169491525,0.07476635514018691,0.056074766355140186,-0.46168224299065375,5.9971962616822445,0.1308411214953271,0.35514018691588783,0.42990654205607476,0.1308411214953271,0.09345794392523364,3.6728971962616823,0.35514018691588783,0.35514018691588783,0.06153846153846154,0.06153846153846154,-0.40153846153846157,5.921538461538458,0.12307692307692308,0.27692307692307694,0.4307692307692308,0.2,0.2,4.0,0.36923076923076925,0.3384615384615385
cetuximab,0.07563025210084033,0.05042016806722689,-0.42100840336134454,5.989075630252101,0.12605042016806722,0.3697478991596639,0.4117647058823529,0.14285714285714285,0.1092436974789916,3.8487394957983194,0.3277310924369748,0.3277310924369748,0.08411214953271028,0.08411214953271028,-0.6411214953271022,5.960747663551402,0.16822429906542055,0.38317757009345793,0.40186915887850466,0.09345794392523364,0.056074766355140186,3.682242990654206,0.3644859813084112,0.3177570093457944,0.06060606060606061,0.06060606060606061,-0.5378787878787878,5.846969696969693,0.12121212121212122,0.42424242424242425,0.3484848484848485,0.18181818181818182,0.13636363636363635,4.015151515151516,0.4090909090909091,0.3787878787878788
clazakizumab,0.075,0.1,-0.4649999999999999,5.908333333333331,0.175,0.2916666666666667,0.44166666666666665,0.11666666666666667,0.1,3.6416666666666666,0.35,0.275,0.08181818181818182,0.06363636363636363,-0.6072727272727266,6.017272727272727,0.14545454545454545,0.37272727272727274,0.42727272727272725,0.09090909090909091,0.06363636363636363,3.5090909090909093,0.34545454545454546,0.32727272727272727,0.05714285714285714,0.11428571428571428,-0.7342857142857142,5.74285714285714,0.17142857142857143,0.37142857142857144,0.37142857142857144,0.11428571428571428,0.08571428571428572,3.657142857142857,0.4142857142857143,0.3142857142857143
crenezumab,0.07142857142857142,0.07142857142857142,-0.4437499999999998,5.966964285714284,0.14285714285714285,0.32142857142857145,0.45535714285714285,0.10714285714285714,0.09821428571428571,3.419642857142857,0.3482142857142857,0.30357142857142855,0.09821428571428571,0.08035714285714286,-0.5294642857142856,6.023214285714288,0.17857142857142858,0.3392857142857143,0.42857142857142855,0.10714285714285714,0.08035714285714286,3.732142857142857,0.35714285714285715,0.3392857142857143,0.09375,0.046875,-0.671875,5.995312499999998,0.140625,0.453125,0.328125,0.15625,0.125,3.671875,0.46875,0.484375
dacetuzumab,0.09649122807017543,0.06140350877192982,-0.4289473684210524,6.1008771929824555,0.15789473684210525,0.2807017543859649,0.4649122807017544,0.13157894736842105,0.11403508771929824,3.710526315789474,0.2894736842105263,0.2719298245614035,0.10714285714285714,0.05357142857142857,-0.5758928571428567,6.086607142857143,0.16071428571428573,0.41964285714285715,0.4017857142857143,0.10714285714285714,0.05357142857142857,3.705357142857143,0.35714285714285715,0.375,0.15151515151515152,0.015151515151515152,-0.7015151515151514,6.309090909090905,0.16666666666666666,0.42424242424242425,0.36363636363636365,0.16666666666666666,0.10606060606060606,4.075757575757576,0.3333333333333333,0.4090909090909091
daclizumab,0.10344827586206896,0.08620689655172414,-0.6155172413793102,6.026724137931032,0.1896551724137931,0.31896551724137934,0.39655172413793105,0.12931034482758622,0.1206896551724138,3.75,0.3706896551724138,0.35344827586206895,0.09433962264150944,0.05660377358490566,-0.5264150943396225,6.050943396226414,0.1509433962264151,0.39622641509433965,0.4056603773584906,0.10377358490566038,0.08490566037735849,3.5943396226415096,0.39622641509433965,0.4056603773584906,0.12903225806451613,0.04838709677419355,-0.7935483870967739,6.124193548387094,0.1774193548387097,0.41935483870967744,0.3225806451612903,0.1774193548387097,0.16129032258064516,4.016129032258065,0.46774193548387094,0.5
daratumumab,0.08196721311475409,0.08196721311475409,-0.3049180327868851,5.97950819672131,0.16393442622950818,0.27049180327868855,0.4918032786885246,0.13114754098360656,0.09016393442622951,3.6147540983606556,0.30327868852459017,0.26229508196721313,0.08411214953271028,0.07476635514018691,-0.6261682242990649,6.05607476635514,0.1588785046728972,0.3364485981308411,0.4392523364485981,0.102803738317757,0.06542056074766354,3.663551401869159,0.34579439252336447,0.29906542056074764,0.08695652173913043,0.07246376811594203,-0.5550724637681158,6.014492753623186,0.15942028985507245,0.30434782608695654,0.4492753623188406,0.15942028985507245,0.10144927536231885,3.63768115942029,0.34782608695652173,0.3188405797101449
dinutuximab,0.08849557522123894,0.07964601769911504,-0.4761061946902654,5.961946902654869,0.168141592920354,0.336283185840708,0.40707964601769914,0.11504424778761062,0.13274336283185842,3.6194690265486726,0.3805309734513274,0.37168141592920356,0.1415929203539823,0.07079646017699115,-0.6433628318584064,6.201769911504426,0.21238938053097345,0.34513274336283184,0.4424778761061947,0.07964601769911504,0.04424778761061947,3.672566371681416,0.3185840707964602,0.336283185840708,0.13636363636363635,0.030303030303030304,-0.828787878787879,6.2060606060606025,0.16666666666666666,0.42424242424242425,0.36363636363636365,0.13636363636363635,0.12121212121212122,3.8484848484848486,0.36363636363636365,0.42424242424242425
eculizumab,0.08196721311475409,0.09016393442622951,-0.4942622950819673,5.957377049180327,0.1721311475409836,0.3114754098360656,0.4098360655737705,0.14754098360655737,0.13114754098360656,3.8934426229508197,0.36885245901639346,0.319672131147541,0.06542056074766354,0.07476635514018691,-0.42710280373831766,5.9186915887850455,0.14018691588785046,0.34579439252336447,0.45794392523364486,0.09345794392523364,0.06542056074766354,3.4766355140186915,0.3364485981308411,0.308411214953271,0.028985507246376812,0.10144927536231885,-0.2898550724637681,5.669565217391302,0.13043478260869565,0.30434782608695654,0.4492753623188406,0.18840579710144928,0.11594202898550725,3.9420289855072466,0.34782608695652173,0.2608695652173913
efalizumab,0.10743801652892562,0.08264462809917356,-0.5198347107438016,6.044628099173553,0.19008264462809918,0.2892561983471074,0.4297520661157025,0.1487603305785124,0.1322314049586777,3.9173553719008263,0.3305785123966942,0.30578512396694213,0.102803738317757,0.06542056074766354,-0.638317757009345,6.080373831775702,0.16822429906542055,0.37383177570093457,0.40186915887850466,0.102803738317757,0.07476635514018691,3.663551401869159,0.37383177570093457,0.38317757009345793,0.14705882352941177,0.07352941176470588,-0.8926470588235291,6.127941176470585,0.22058823529411764,0.36764705882352944,0.3235294117647059,0.19117647058823528,0.16176470588235295,4.3088235294117645,0.4117647058823529,0.4411764705882353
eldelumab,0.0967741935483871,0.08870967741935484,-0.5048387096774192,6.000806451612904,0.18548387096774194,0.27419354838709675,0.45161290322580644,0.13709677419354838,0.13709677419354838,3.814516129032258,0.31451612903225806,0.2661290322580645,0.08256880733944955,0.07339449541284404,-0.5311926605504582,6.0522935779816525,0.1559633027522936,0.3211009174311927,0.45871559633027525,0.11009174311926606,0.06422018348623854,3.5688073394495414,0.3669724770642202,0.3211009174311927,0.0821917808219178,0.0684931506849315,-0.41643835616438357,5.947945205479448,0.1506849315068493,0.3013698630136986,0.4520547945205479,0.1780821917808219,0.1506849315068493,3.6986301369863015,0.3698630136986301,0.3424657534246575
elotuzumab,0.08403361344537816,0.10084033613445378,-0.5008403361344538,5.945378151260503,0.18487394957983194,0.2605042016806723,0.453781512605042,0.13445378151260504,0.11764705882352941,3.8403361344537816,0.31092436974789917,0.24369747899159663,0.09345794392523364,0.07476635514018691,-0.5560747663551397,6.025233644859816,0.16822429906542055,0.34579439252336447,0.411214953271028,0.11214953271028037,0.09345794392523364,3.682242990654206,0.37383177570093457,0.3644859813084112,0.09090909090909091,0.10606060606060606,-0.7196969696969695,5.9045454545454525,0.19696969696969696,0.30303030303030304,0.36363636363636365,0.19696969696969696,0.16666666666666666,4.196969696969697,0.4090909090909091,0.3484848484848485
enokizumab,0.09016393442622951,0.10655737704918032,-0.5516393442622951,5.947540983606556,0.19672131147540983,0.28688524590163933,0.4098360655737705,0.13114754098360656,0.12295081967213115,3.7295081967213113,0.38524590163934425,0.3360655737704918,0.09345794392523364,0.06542056074766354,-0.46168224299065364,6.0158878504672915,0.1588785046728972,0.3644859813084112,0.411214953271028,0.1308411214953271,0.09345794392523364,3.7196261682242993,0.3925233644859813,0.40186915887850466,0.10144927536231885,0.10144927536231885,-0.5608695652173913,5.9072463768115915,0.2028985507246377,0.30434782608695654,0.36231884057971014,0.21739130434782608,0.15942028985507245,4.173913043478261,0.4492753623188406,0.43478260869565216
epratuzumab,0.10344827586206896,0.09482758620689655,-0.7163793103448273,5.99568965517241,0.19827586206896552,0.3448275862068966,0.3620689655172414,0.14655172413793102,0.11206896551724138,3.9913793103448274,0.3793103448275862,0.3448275862068966,0.10714285714285714,0.0625,-0.5830357142857138,6.075000000000001,0.16964285714285715,0.375,0.38392857142857145,0.125,0.09821428571428571,3.75,0.38392857142857145,0.4017857142857143,0.14705882352941177,0.07352941176470588,-1.039705882352941,6.122058823529409,0.22058823529411764,0.4117647058823529,0.23529411764705882,0.22058823529411764,0.17647058823529413,4.676470588235294,0.4411764705882353,0.45588235294117646
evolocumab,0.08695652173913043,0.06956521739130435,-0.5521739130434782,6.044347826086954,0.1565217391304348,0.3217391304347826,0.41739130434782606,0.11304347826086956,0.1391304347826087,3.6,0.3565217391304348,0.33043478260869563,0.06422018348623854,0.06422018348623854,-0.4788990825688071,5.914678899082568,0.12844036697247707,0.4036697247706422,0.41284403669724773,0.08256880733944955,0.08256880733944955,3.256880733944954,0.4036697247706422,0.3853211009174312,0.046153846153846156,0.046153846153846156,-0.5184615384615386,5.8907692307692265,0.09230769230769231,0.4153846153846154,0.36923076923076925,0.13846153846153847,0.15384615384615385,3.4923076923076923,0.4461538461538462,0.4153846153846154
farletuzumab,0.09243697478991597,0.08403361344537816,-0.4176470588235293,6.028571428571427,0.17647058823529413,0.2605042016806723,0.48739495798319327,0.13445378151260504,0.10084033613445378,3.6218487394957983,0.31092436974789917,0.2605042016806723,0.07272727272727272,0.05454545454545454,-0.535454545454545,5.975454545454548,0.12727272727272726,0.4090909090909091,0.37272727272727274,0.12727272727272726,0.10909090909090909,3.690909090909091,0.4090909090909091,0.4090909090909091,0.057971014492753624,0.043478260869565216,-0.291304347826087,5.869565217391301,0.10144927536231885,0.391304347826087,0.391304347826087,0.18840579710144928,0.17391304347826086,3.652173913043478,0.4492753623188406,0.4492753623188406
