name,dipole_moment,hyd_moment,net_charge,pro_pI_3D
emibetuzumab.VL  emi_wt.VH,283.8186,566.85626,2.6674268,8.1186523
emibetuzumab.VL  emi_E14_002.VH,331.95804,552.11475,2.6878834,8.1625977
emibetuzumab.VL  emi_E14_003.VH,478.5582,582.20099,4.4759846,8.8217773
emibetuzumab.VL  emi_E14_004.VH,393.47525,551.78839,2.6926219,8.309082
emibetuzumab.VL  emi_E14_005.VH,394.3642,634.70709,2.6628716,8.440918
emibetuzumab.VL  emi_E14_010.VH,521.48206,641.54395,4.4240475,8.9975586
emibetuzumab.VL  emi_E14_011.VH,531.14642,590.58533,4.5222778,8.7192383
emibetuzumab.VL  emi_E14_013.VH,530.46448,646.15747,4.365479,8.6459961
emibetuzumab.VL  emi_E14_014.VH,422.74969,618.08026,1.2976823,7.7817383
emibetuzumab.VL  emi_E14_015.VH,551.59351,675.72498,4.5296917,8.8657227
emibetuzumab.VL  emi_E14_017.VH,545.24072,604.32544,4.466372,8.909668
emibetuzumab.VL  emi_E14_018.VH,531.52814,631.30481,3.6065998,8.5288086
emibetuzumab.VL  emi_E14_019.VH,464.13895,588.27161,3.5979934,8.5581055
emibetuzumab.VL  emi_E14_020.VH,413.39316,683.21252,3.6303918,8.543457
emibetuzumab.VL  emi_E14_021.VH,406.32083,567.64313,2.0199101,7.7524414
emibetuzumab.VL  emi_E14_023.VH,625.32501,710.32227,5.3532882,8.8657227
emibetuzumab.VL  emi_E14_025.VH,556.30481,640.34637,4.4945707,8.9536133
emibetuzumab.VL  emi_E14_027.VH,658.93176,668.21106,5.4662795,9.1733398
emibetuzumab.VL  emi_E14_029.VH,570.03021,623.49878,4.4723382,8.8364258
emibetuzumab.VL  emi_E14_030.VH,448.69742,606.63464,3.5690966,8.5141602
emibetuzumab.VL  emi_E14_031.VH,552.7912,647.10382,4.3679671,9.0268555
emibetuzumab.VL  emi_E14_038.VH,460.04114,664.6709,3.4337485,8.7192383
emibetuzumab.VL  emi_E14_040.VH,548.55475,642.49878,3.7138617,8.5288086
emibetuzumab.VL  emi_E14_042.VH,387.91315,692.63837,3.669013,8.543457
emibetuzumab.VL  emi_E14_045.VH,457.1199,689.40082,3.5189672,8.7485352
emibetuzumab.VL  emi_E14_053.VH,537.91864,652.43701,3.5671763,8.6899414
emibetuzumab.VL  emi_E14_056.VH,474.01743,619.15277,3.5903637,8.6166992
emibetuzumab.VL  emi_E14_060.VH,543.29169,643.14581,4.5340514,8.8071289
emibetuzumab.VL  emi_E18_001.VH,452.1517,658.05853,1.2875855,7.7817383
emibetuzumab.VL  emi_E18_002.VH,505.63812,607.38684,3.6711967,8.440918
emibetuzumab.VL  emi_E18_004.VH,293.70291,622.60754,-0.57376868,6.1508789
emibetuzumab.VL  emi_E18_005.VH,574.21167,616.59827,4.524981,8.7192383
emibetuzumab.VL  emi_E18_006.VH,525.76617,627.58783,3.4641926,8.6459961
emibetuzumab.VL  emi_E18_007.VH,408.38513,618.2215,2.7048879,8.2797852
emibetuzumab.VL  emi_E18_008.VH,383.52866,572.91565,1.2840509,7.7524414
emibetuzumab.VL  emi_E18_009.VH,433.30795,623.2865,2.7177401,8.3383789
emibetuzumab.VL  emi_E18_010.VH,384.62555,614.82928,1.1524366,7.5913086
emibetuzumab.VL  emi_E18_011.VH,364.15479,601.6416,-1.5999292,5.1606445
emibetuzumab.VL  emi_E18_012.VH,374.74747,555.11017,1.3012124,7.7963867
emibetuzumab.VL  emi_E18_013.VH,498.02682,654.69794,3.5894351,8.6020508
emibetuzumab.VL  emi_E18_014.VH,412.85812,576.71576,2.6868978,8.1040039
emibetuzumab.VL  emi_E18_015.VH,449.51804,572.33301,2.7031937,8.2211914
emibetuzumab.VL  emi_E18_016.VH,395.93347,580.88135,-0.50479674,6.277832
emibetuzumab.VL  emi_E18_017.VH,274.50046,654.06909,-0.58364379,6.3032227
emibetuzumab.VL  emi_E18_018.VH,352.95322,634.2229,-1.4773722,5.0209961
emibetuzumab.VL  emi_E18_019.VH,456.51877,589.77026,3.5275671,8.8657227
emibetuzumab.VL  emi_E18_020.VH,564.12366,656.88977,3.5963116,8.5874023
emibetuzumab.VL  emi_E18_021.VH,424.34076,560.63672,2.7587254,8.2651367
emibetuzumab.VL  emi_E18_022.VH,627.56537,642.6557,4.3993735,8.8803711
emibetuzumab.VL  emi_E18_024.VH,383.41611,668.12115,-0.52913356,6.3286133
emibetuzumab.VL  emi_E18_025.VH,463.6853,682.51331,2.7597799,8.2651367
emibetuzumab.VL  emi_E18_026.VH,492.89594,612.76129,2.7400548,8.2651367
emibetuzumab.VL  emi_E18_027.VH,485.94223,576.16919,2.7602851,8.2797852
emibetuzumab.VL  emi_E18_028.VH,343.79343,658.54572,-0.55142742,6.277832
