Antibody,A_sasa,D_sasa,E_sasa,F_sasa,G_sasa,H_sasa,I_sasa,K_sasa,L_sasa,M_sasa,N_sasa,P_sasa,Q_sasa,R_sasa,S_sasa,T_sasa,V_sasa,W_sasa,Y_sasa
abituzumab,0.55904201,2.70955743,2.65792741,0.75393832,7.47789531,0.1477431,1.57849716,4.48265655,1.08769709,0,0.70864804,3.11751209,5.12143117,3.54411249,13.00355396,5.69783354,0.69229905,0.35536846,2.14233441
abrilumab,1.15779716,3.60137873,3.2675389,0.62107213,7.17311811,0,0.80320603,6.10955733,0.80878231,0,1.10132259,3.27919928,5.55653462,1.71090357,13.56622721,4.35582227,2.29951428,0.83243701,1.15149609
adalimumab,2.49270239,3.70455205,3.06011035,0.12212858,8.10366801,0.64518684,0.71089238,3.86366956,2.25048268,0,1.84652873,3.18068107,3.64322997,3.86775316,11.14779228,3.71432771,1.83840337,0.45629723,1.76042382
alemtuzumab,2.25134411,2.76165096,1.22309403,0.11700125,6.60424605,0.74908822,0.90948068,5.54497904,1.82200585,0,1.69015972,4.07479578,5.14812187,2.89298407,10.65678161,7.20666179,1.04244105,0,1.32230752
alirocumab,2.19547161,3.83428722,3.11106614,0.10724934,8.31758835,0.23761917,0.69174467,3.4120724,2.04023346,0,4.23019493,2.59695562,2.96712908,3.67304277,11.73935336,4.40234006,2.16264542,0.33339767,1.4895867
anifrolumab,1.42304823,2.92641418,3.80096027,0.31519279,6.98659458,0,2.3450865,3.93696813,0.68640357,0.38217767,0.53269333,3.97909414,3.65843602,4.45568943,12.39332244,4.31482906,1.90707802,0.21637503,1.24459191
atezolizumab,1.20709097,3.38242184,2.80433254,1.02448459,8.10764167,0.29152979,0.22234129,4.11730735,2.07002771,0,0.62535839,3.34108726,3.81892688,2.34667118,12.62853744,4.26654972,1.17466403,0.85491417,2.30609032
bapineuzumab,1.59629357,3.71278041,3.65425522,0.59063438,9.42419961,0.66306883,0.20006411,5.09184898,3.07474029,0,1.76386047,3.65206291,3.92995368,2.67268326,11.1947882,3.38391391,1.26154278,0,2.0640825
basiliximab,2.85789478,0.54107523,3.06208877,0.25444006,8.37259969,0.50494175,1.07670891,4.90758157,0.87529564,0.2139575,0.66682693,2.70765278,4.20461195,1.96719264,13.41027126,5.41293306,1.33419457,0.24381702,2.32311184
bavituximab,1.42064124,2.9564081,4.27656866,0.1020148,7.79648904,0.99079196,0,6.19570871,2.04896953,0,0,2.79262737,3.55847598,2.00958418,15.59870297,3.53778963,1.01157207,0.3416666,2.81812945
belimumab,2.55411022,2.1711377,3.66095904,0.67944676,8.19442337,0.90512411,0.25252689,2.46211948,2.74659903,0.92677895,2.65557124,3.61203307,6.18491145,3.45329858,10.16884456,4.71554886,2.10997007,0,0.87822997
benralizumab,1.29592143,3.30599855,3.0907152,0.18856276,8.42796987,0.27367647,1.42887451,5.62555916,2.17518392,0,0.97722738,3.33388704,2.89194769,3.72990607,11.81170424,5.38616151,1.8300486,0.12759572,2.82563907
bevacizumab,1.42771924,2.86581423,3.22639136,0.69836784,7.67755094,0.37857105,0.19231977,4.1091822,1.86710136,0,1.23527527,3.25305896,3.70266139,2.41847331,12.87614851,5.1807883,1.93894936,0.49263239,3.36902495
bimagrumab,3.16232551,1.13130968,1.75604796,0.16981073,8.7617797,0.19156378,0.38800289,4.45494643,1.04787602,0,1.93913405,2.57358911,5.32310373,2.23498061,14.35109427,5.02655756,2.21827117,0.25796,2.40191389
blosozumab,1.1179994,3.31772576,2.86151366,0.70438001,7.34824096,0.59020863,1.38964593,6.99935239,0.22570286,0,0,3.75652593,3.77449284,1.84428306,11.09046869,7.27233892,2.07592557,0.55008611,1.62171378
bococizumab,1.24324963,1.12212792,2.45389726,0.69925102,6.57187796,0,1.05119219,5.05223822,1.44989876,0,0.32584668,3.69748221,4.57781062,3.24377223,12.54199906,6.56888352,1.88833344,0.21709576,2.67313849
brentuximab,3.5329882,3.89126313,3.65718507,0.80805826,8.61830923,0.33845005,0.35451914,5.51786578,0.86616935,0,2.12777796,3.83106495,5.17995582,0.58592063,9.57162347,4.58727828,1.46198774,0.10517965,2.37833688
briakinumab,1.99399548,2.56536096,1.71232971,0.12864701,8.10808731,0.91658903,0,3.13501285,1.12859699,0.32818085,1.85145595,3.44205367,4.90029188,3.86196116,12.1193018,4.90846035,2.39172833,0,2.4403855
brodalumab,2.15629142,1.84890282,2.6540467,0.13024544,7.49218843,0,0.46496029,3.90090289,0.99890481,0,1.70568653,2.97705816,6.06896882,3.66757533,11.42287549,6.30011652,2.0764036,0.46677132,2.17768437
canakinumab,1.91156723,4.06874804,2.79642833,0.81228717,6.47239251,0,0.29406002,5.10091356,1.02541542,0,1.67595877,3.12789871,4.85741134,3.08647148,11.5191389,3.57361828,2.38339854,0.18250298,1.58267375
carlumab,2.77838458,1.50662507,4.07567675,0.94896099,8.25209923,0.60626488,1.76634483,3.5948828,0.9671948,0,0,3.42030062,6.18977787,2.61819075,11.55332545,4.94421583,1.95471603,0.10202822,1.27248355
certolizumab,1.03057103,2.97829728,3.21247455,0.85914058,7.35448894,0,1.50523685,4.69178736,1.70990446,0,1.70291879,2.92337368,3.96459651,2.51444438,10.94747163,3.79542219,1.6270558,0,3.53551423
cetuximab,1.76515702,1.98815506,2.2517315,0.24614779,6.24334195,0,1.13730509,3.57434865,1.93141463,0,5.27344413,3.20780021,4.01935207,1.85366516,13.84144672,5.02290217,0.82001643,0.49740539,1.98045893
cixutumumab,2.455477,2.49372525,3.79933078,0.51555208,9.36695049,0.50901097,0.84504707,4.58809434,1.59657532,0,0.8356942,3.32021276,5.94607167,2.54475015,11.35684731,6.06874193,2.34498547,0.56548714,2.60133422
clazakizumab,1.59526517,3.09326417,2.64126442,0.80801976,8.36417501,0,0.59586928,3.64701278,1.87137892,0,3.40800163,2.82479648,3.88167591,2.77004423,14.20948307,3.5327796,1.21003001,0.54938454,0.95032606
codrituzumab,1.90045426,3.26118744,2.79564207,0.40190818,7.08535968,0.62207899,0.30509954,5.80191949,1.20290205,0,1.45644102,3.80211594,5.9546354,2.46401748,10.83586548,4.66042587,3.08549484,0,1.5296857
crenezumab,2.70927789,3.59002423,3.24068523,0.28641828,9.36798121,0.38124639,0.35854477,3.74381355,1.22175627,0,2.97125922,3.9893827,3.95275472,2.30332401,11.80734976,3.6834047,2.68854549,0,2.01882739
dacetuzumab,1.65231672,1.65577793,2.62442604,0.73118429,9.17819821,0.59267815,0.67036153,4.59301953,1.32545414,0,3.01508752,2.98172993,4.49052622,2.60744956,12.6151374,3.27114092,2.16142299,0.245843,1.66405081
daclizumab,1.71379433,2.71625016,2.60319987,0.13785746,7.05134787,0,0,5.22556387,0.85483388,0,0.69668449,3.12663434,4.47017667,1.90571454,13.44369954,6.25889834,2.3710293,0,2.68488724
dalotuzumab,1.69623433,2.88497559,2.2650823,0.15859072,7.19990456,0.59285501,0.28349792,4.61235081,1.9954508,0,2.07002154,5.10216979,4.69312649,2.6764871,10.62665117,4.6463385,2.82478103,0,2.15218416
daratumumab,2.29959737,1.60286838,4.3026823,1.40179645,8.34572772,0,0.48926064,3.34577463,2.48199979,0,1.91296496,3.39739135,3.62272067,2.85405957,10.62131718,4.25721906,1.211819,0.90596008,1.53124179
denosumab,1.21322875,2.20113656,3.82463022,0.10596848,10.32068322,0,0.85890533,3.26414401,1.82652284,0.21865793,0.84054602,3.66279456,3.85205378,4.70588119,12.13303778,5.16542241,2.06833548,0,0.85405197
dinutuximab,1.917938,1.61749192,4.40001193,0.1116028,7.77312626,0.9184909,0.76591728,5.4394921,2.04108877,0.4111433,1.93881611,3.43869682,2.75703819,3.12137294,11.698989,3.75810077,1.76903315,0,2.24753885
drozitumab,3.67797175,3.39541787,3.41502009,0.12170023,10.23706403,0.20711582,0.1222857,2.97513794,1.56358534,0,2.71320048,2.84470572,3.12864721,3.09843202,10.2832497,4.37992271,2.13287882,0.4754469,2.11309536
