,150mM NaCl,,,0mM NaCl,Viscosity near 150 mg/mL (cP),AC-SINS ??max,patch_hyd,patch_hyd_1,patch_pos,patch_pos_1,patch_neg,patch_neg_1,patch_ion,patch_ion_1,patch_cdr_hyd,patch_cdr_hyd_1,patch_cdr_pos,patch_cdr_pos_1,patch_cdr_neg,patch_cdr_neg_1,patch_cdr_ion,patch_cdr_ion_1,mass,pI_seq,pI_3D,asa_vdw,asa_hyd,asa_hph,volume,mobility,net_charge,dipole_moment,hyd_moment,zdipole
A35,0.018184694,0,0,-0.013070065,12.1,8,570,130,240,40,350,90,590,90,320,130,80,40,130,90,210,90,24.823206,7.1518555,8.440918,10013.74,5467.5469,4219.2363,22892,3.0667033,2.4109426,348.8447,243.53676,1.38E-15
A3,0.023015168,0,0,-0.011373788,8.9,2,260,100,250,70,210,80,460,80,160,90,90,50,80,80,170,80,24.816925,6.9907227,8.2797852,10012.593,5289.5254,4340.2139,22825.875,3.9358594,2.9502983,437.88266,463.73886,2.62E-16
A37,0.023038559,0,0,0.023595979,17.6,2,720,440,310,120,200,80,510,120,510,440,220,120,0,0,220,120,24.856033,7.2983398,9.012207,10315.053,5639.8062,4283.5518,22852.375,7.0145774,5.3567486,420.4917,173.19452,3.77E-15
A34,0.029626156,0,0,0.014318694,10.3,0,470,190,410,60,130,50,540,60,360,190,140,60,40,40,180,60,25.483936,8.777832,9.4516602,10259.426,5437.9194,4444.0898,23522.625,8.6195784,6.5787125,679.71851,233.63338,2.04E-15
A30,0.030500112,0,0,0.037633578,15.3,0,470,200,390,60,240,70,630,70,310,200,210,50,130,50,340,50,25.027399,6.8881836,8.4262695,10543.959,5599.771,4549.2168,23071.75,3.5054114,2.8051705,620.41437,235.88521,8.93E-16
A22,0.03373616,0,0,0.00632795,6.1,2,310,100,210,80,250,90,460,90,260,100,80,80,80,40,160,80,25.903004,7.0200195,8.4995117,10740.811,5638.8901,4660.7109,23691,4.4650793,3.7250719,651.66791,704.27057,1.19E-15
A39,0.036975387,0,0,0.012954109,8.4,-2,300,130,440,100,400,100,840,100,200,130,180,100,360,100,540,100,25.040478,6.9907227,8.5581055,10432.247,5342.2197,4656.8613,23078.625,3.8170669,2.8953414,419.72198,216.11708,7.08E-16
A48,0.038081493,0,0,0.005060805,10.4,-2,470,170,420,70,470,70,890,70,270,170,170,70,290,70,460,70,25.083542,6.9907227,8.543457,10754.531,5459.6343,4795.2427,23150.75,4.0581498,2.9814723,260.96857,153.48712,1.06E-15
A14,0.042098085,0,0,-0.008883724,12,0,530,190,380,50,240,80,620,80,330,190,40,40,120,80,160,80,24.837328,8.9829102,9.715332,10202.602,5561.292,4256.3643,22958.5,8.6416082,6.6445765,541.83325,178.00888,1.64E-15
A55,0.042511811,0,0,0.040133463,9.4,2,290,90,360,120,80,40,440,120,140,90,240,120,40,40,280,120,25.131414,7.6206055,8.7631836,10191.694,5544.25,4222.0376,23150.375,6.1853542,4.9788861,715.07275,448.06638,1.29E-15
A46,0.043087155,0,0,1.094707815,19.7,-2,440,220,210,50,540,250,750,250,270,220,90,50,420,250,510,250,25.408411,4.5512695,4.246582,10780.365,5565.208,4774.5527,23278.125,-9.945611,-7.6894927,454.87683,401.56604,2.43E-15
A1,0.047615731,0,0,0.015409972,10.9,36,410,170,590,80,210,110,800,110,170,170,210,60,100,60,310,60,24.885296,9.3491211,9.8911133,10291.893,5375.8013,4546.207,22993,10.767839,8.3102798,555.40308,340.2146,4.89E-15
A33,0.047936826,0,0,0.03045974,8.1,0,70,70,240,60,120,80,360,80,70,70,150,60,0,0,150,60,25.074245,8.3237305,9.3930664,10136.076,5465.5747,4295.4663,22978.25,9.9354963,7.5667257,520.66473,375.52902,1.79E-15
A50,0.048182115,0,0,0.014300135,8.6,20,480,120,410,80,260,80,670,80,300,120,120,80,0,0,120,80,24.209412,8.3237305,9.2172852,10418.336,5460.998,4583.6279,22361.25,7.0832105,5.7122526,489.50928,407.2222,3.12E-15
A53,0.051879573,0,0,-0.001019708,12.2,0,360,100,250,80,80,40,330,80,150,90,130,80,0,0,130,80,24.748835,7.6206055,8.8950195,9984.8057,5415.395,4172.3608,22789.75,5.669137,4.4972568,522.97876,538.30658,2.50E-15
A75,0.05309437,0,0,0.074640046,11.9,28,290,90,430,70,130,50,560,70,140,90,170,70,0,0,170,70,25.052399,9.4663086,9.715332,10395.986,5517.043,4488.436,23087.5,12.012183,9.5585623,614.3783,238.09108,3.97E-15
A20,0.054672046,0,0,0.017922654,5.5,6,490,170,440,120,180,50,620,120,380,170,70,70,50,50,120,70,25.093424,8.8071289,9.3344727,10483.794,5497.437,4614.521,23080.75,8.2004576,6.4428005,383.26868,397.06827,5.81E-15
A17,0.05468863,0,0,-0.000158927,7.6,2,380,200,410,80,200,80,610,80,270,200,100,60,40,40,140,60,24.45373,7.7084961,9.2172852,10036.57,5269.3486,4420.8921,22516.375,6.1436982,4.6394587,492.66782,326.57721,3.89E-16
A51,0.055272028,0,0,0.014235499,13.1,4,500,180,610,110,200,80,810,110,320,180,260,110,80,40,340,110,25.423761,8.7924805,9.2758789,10771.51,5658.3481,4727.1846,23387.125,8.4225578,6.6312041,519.92896,285.87576,2.10E-15
A52,0.05553501,0,0,0.01146134,14.6,0,390,110,250,80,110,70,360,80,220,100,130,80,0,0,130,80,24.787899,8.2797852,9.1000977,10099.613,5471.1245,4261.6406,22834.25,7.1464233,5.547554,534.87549,545.13464,2.92E-15
A5,0.05615733,0,0,-0.006961362,9.3,2,450,290,250,70,130,50,380,70,340,290,90,50,0,0,90,50,25.209499,6.7563477,8.2944336,10020.952,5511.666,4134.8784,23238,3.5513279,2.8615072,437.47296,546.65131,1.20E-15
A32,0.057074883,1,0,0.025336078,6,14,120,70,250,120,140,90,390,120,120,70,160,120,0,0,160,120,25.017214,8.8217773,9.480957,10080.969,5419.6143,4257.2441,22930.75,11.278375,8.6176167,642.35217,361.51129,4.92E-15
A11,0.062868046,1,0,-0.002419479,14.6,-2,600,210,270,50,390,80,660,80,340,210,50,50,160,70,210,70,26.077549,6.565918,7.6791992,10641.011,5866.5474,4378.2964,23990,0.26494664,0.34646326,391.05624,438.78592,1.66E-17
A41,0.067086683,1,0,0.015144801,11.7,0,440,130,330,60,210,70,540,70,220,90,110,60,90,50,200,60,24.941151,6.9907227,8.440918,10456.396,5687.1284,4361.8281,22900.75,3.1565886,2.6723375,310.74515,410.35226,1.51E-15
A10,0.068520537,1,0,0.003510317,12.6,0,700,260,390,60,330,80,720,80,440,260,110,60,150,60,260,60,26.206739,6.8881836,8.2797852,10737.012,5776.7529,4544.2402,24132.25,3.4699328,2.9931383,462.71982,327.85617,1.64E-15
A43,0.073315954,1,0,0.021693104,12.6,16,460,160,440,90,160,40,600,90,190,140,190,70,40,40,230,70,24.6719,8.8803711,9.480957,10061.815,5424.8638,4266.6436,22721.625,8.3226538,6.4493628,645.94574,449.92087,3.47E-15
A12,0.073767214,1,0,-0.000391429,9.9,0,620,250,340,60,290,80,630,80,360,250,60,60,150,50,210,60,26.319801,6.565918,7.8110352,10677.344,5631.7109,4632.0586,24182.125,1.3521866,1.3546609,459.10889,387.60873,4.49E-16
A42,0.075028242,1,0,0.011539341,8.9,0,460,140,350,80,220,100,570,100,410,140,190,80,40,40,230,80,25.948111,7.1518555,8.3823242,10487.701,5811.0571,4314.2178,23779.375,5.036346,3.8977001,408.27344,594.29626,8.91E-16
A23,0.083104065,1,0,0.031258162,13.8,0,580,230,230,50,310,70,540,70,330,230,0,0,110,60,110,60,23.984892,6.1762695,6.1635742,9991.2725,5325.1426,4298.189,22059.75,-0.4184975,-0.21551749,272.98465,314.64526,8.34E-17
A77,0.086031556,1,0,0.052744787,12.4,36,200,130,340,70,260,70,600,70,130,130,160,70,40,40,200,70,24.482794,8.3969727,9.144043,10000.616,5224.0024,4394.2705,22554.375,5.0297408,3.7914841,565.67035,264.85605,1.08E-15
A19,0.104683423,1,0,0.007271559,10.8,18,480,160,170,70,120,40,290,70,300,160,50,50,40,40,90,50,25.481724,7.6645508,8.7631836,10178.569,5531.1143,4260.3789,23492,5.8310189,4.6521811,537.0802,550.33252,1.18E-15
A61,0.111702315,1,0,0.01613165,10.3,10,470,160,410,90,200,40,610,90,200,150,190,70,40,40,230,70,24.707897,8.309082,9.1733398,10083.519,5466.4058,4232.0332,22769,7.074656,5.6249146,550.02545,533.51733,1.72E-15
A71,0.135325796,1,0,0.050527963,14.8,36,420,190,500,210,300,70,800,210,240,190,300,210,160,70,460,210,25.409681,7.371582,8.7485352,10329.146,5558.3555,4397.2866,23331,3.8466198,3.0318224,410.77316,259.51996,1.34E-15
A62,0.158234496,1,0,0.016772768,16.8,22,460,270,290,50,330,70,620,70,460,270,100,50,130,50,230,50,25.296507,6.8881836,8.6020508,10808.527,5935.8257,4516.1265,23240.75,5.3507538,4.1722541,649.3064,466.38779,2.18E-15
A63,0.162723417,1,0,0.043365308,,2,560,200,230,70,360,60,590,70,350,200,80,40,150,60,230,60,25.106592,6.9907227,8.2504883,10488.06,5599.2998,4425.1479,23159.375,3.6187091,2.9795094,653.00842,251.09814,6.48E-16
A45,0.166548077,1,0,1.071882382,17.8,-2,440,150,270,60,530,130,800,130,340,150,150,60,340,130,490,130,25.252453,4.8432617,4.8686523,10465.303,5645.8418,4332.0859,23232,-5.8760042,-4.3361087,398.86829,352.11899,1.45E-15
A54,0.17598926,1,0,0.017394054,22.7,18,480,280,230,50,330,70,560,70,480,280,90,50,130,50,220,50,25.182283,6.2016602,6.7124023,10670.958,5839.8228,4442.5845,23110,-1.0005316,-0.60191363,583.16235,470.87354,2.16E-16
A9,0.176276191,1,0,0.014752162,11.4,2,430,270,230,50,410,70,640,70,270,270,150,50,150,60,300,60,24.664879,6.565918,7.9135742,9982.6533,5244.8311,4396.2803,22713.625,1.7203841,1.1932795,511.76947,144.13365,7.11E-16
A70,0.180194165,1,0,0.055586132,21.2,44,250,150,470,140,330,140,800,140,150,150,170,60,150,70,320,70,24.460577,8.309082,9.0708008,9961.5889,5378.8862,4204.8271,22467.375,6.97995,5.406518,622.32104,698.90857,2.98E-15
A60,0.184095469,1,0,0.06720419,10.8,30,440,130,410,70,140,50,550,70,310,110,170,70,0,0,170,70,24.942297,9.2758789,9.6567383,10343.172,5607.8989,4392.708,22937.875,10.443107,8.2482986,558.63293,390.78555,1.67E-15
A27,0.24255815,1,0,0.106395813,31.8,2,560,270,290,50,220,90,510,90,380,270,40,40,180,90,220,90,24.930962,5.6176758,5.8842773,10299.092,5525.4106,4375.3193,22888.5,-1.8616688,-1.3995579,674.07214,269.22092,4.58E-16
A80,0.280355035,2,1,1.258903964,11.7,0,480,190,280,60,540,110,820,110,190,190,140,60,260,110,400,110,24.953997,5.6430664,5.1479492,10367.676,5452.0659,4504.7778,22849.125,-3.5088329,-2.489362,686.68408,468.25882,1.72E-15
A28,0.288849241,2,1,0.179285398,21.7,22,590,260,290,50,330,100,620,100,360,260,40,40,240,100,280,100,24.843904,6.1889648,6.7563477,10276.03,5492.7974,4378.8501,22827.375,-0.43923211,-0.31466877,725.4248,200.78635,1.84E-16
A6,0.366264016,2,1,0.00394836,15,50,640,470,430,90,120,40,550,90,470,470,180,90,80,40,260,90,25.039465,8.3383789,9.3051758,10411.549,5665.2627,4363.3052,23122.875,6.8900161,5.4529343,570.50122,254.37802,1.18E-15
A21,0.373953298,2,1,0.02405744,13.9,48,470,170,370,70,130,50,500,70,360,170,100,60,0,0,100,60,25.106443,8.8071289,9.2758789,10375.124,5452.9736,4521.4951,23088,7.2695684,5.6570554,407.7865,402.06158,1.02E-15
A56,0.401380663,2,1,0.097737207,21.8,24,410,170,330,70,440,50,770,70,240,170,150,70,260,50,410,70,24.956888,5.2368164,4.8432617,10215.462,5260.9932,4550.582,22883,-4.3787055,-3.0694609,370.22305,314.85156,1.12E-15
A7,0.88575398,2,1,0.3117215,48.8,30,560,230,420,50,200,80,620,80,380,230,130,50,160,80,290,80,25.073378,6.9907227,8.6606445,10398.559,5500.4463,4489.3726,23095.625,3.3123128,2.6906586,459.94727,260.76663,2.22E-15
A18,0.889389822,2,1,0.009478746,26.4,40,480,170,340,70,130,50,470,70,260,170,100,50,40,40,140,50,25.492813,8.2651367,8.9975586,10305.413,5536.8921,4353.4546,23528.625,7.847353,6.1303992,560.08905,658.40784,1.71E-15
A16,0.93997586,2,1,-0.004937193,17.1,54,440,280,420,50,180,60,600,60,330,280,170,50,60,60,230,60,25.456736,8.2944336,9.1733398,10378.614,5512.3608,4493.2319,23409.375,7.2563434,5.7901049,505.57013,376.39499,3.46E-15
A69,1.05594421,2,1,1.098446382,45.9,58,460,150,290,80,550,280,840,280,220,90,50,50,340,280,390,280,24.534418,4.5893555,4.449707,10116.144,5425.2715,4321.8062,22487.875,-7.0035806,-5.2569141,311.66003,352.61859,1.55E-15
A79,1.129187083,2,1,0.364355613,348,38,320,210,160,40,460,100,620,100,270,210,40,40,140,100,180,100,24.196938,5.6176758,5.871582,9946.9863,5182.9595,4322.9063,22113.5,-1.8083782,-1.3057252,435.96719,523.44006,8.82E-16
A31,1.133941369,2,1,0.197041348,27.3,40,820,220,270,80,40,40,310,80,530,220,0,0,0,0,0,0,24.665874,8.2797852,9.0561523,10660.607,5988.6133,4339.5635,22693.5,6.3337336,5.0895739,475.71872,477.95248,1.51E-15
A64,1.134662067,2,1,0.128512781,11.9,30,220,70,400,80,250,70,650,80,100,50,230,80,60,60,290,80,24.590694,8.8510742,9.5102539,10111.732,5260.2158,4470.3452,22578.875,11.08903,8.4553699,707.7522,770.70117,2.62E-15
A26,1.177912073,2,1,0.033394895,15.2,40,690,390,240,70,400,60,640,70,520,390,130,50,150,60,280,60,25.02441,6.7124023,7.840332,10420.482,5495.2109,4473.6572,23078.25,0.43456921,0.53072709,614.16388,269.6604,1.57E-16
A15,1.178685228,2,1,0.086847861,180,46,690,110,300,70,300,80,600,80,430,110,70,70,60,60,130,70,25.679882,6.2016602,6.8442383,10772.19,5923.9194,4451.2778,23567.75,-0.91732806,-0.4825854,440.42706,487.85913,1.16E-16
A8,1.197415105,2,1,0.069580174,25.6,42,710,520,390,50,160,40,550,50,520,520,140,50,120,40,260,50,25.058413,7.2983398,8.7045898,10339.17,5642.8169,4320.3892,23118.375,4.5664072,3.5853829,559.29791,335.23892,8.25E-16
A65,1.229571931,2,1,0.094287976,16.6,36,450,260,290,80,250,100,540,100,310,260,80,80,0,0,80,80,24.843781,6.3286133,6.565918,10518.814,5450.5371,4604.9707,22762.25,-1.3860829,-0.94842905,578.84222,368.22589,6.41E-16
A24,1.250679799,2,1,0.314721395,219.1,48,490,120,230,60,380,70,610,70,280,120,0,0,150,70,150,70,25.244383,5.668457,6.4047852,10564.391,5672.1328,4497.6147,23253.5,-1.8889689,-1.2045487,467.54294,522.68292,4.51E-16
A74,1.383165427,2,1,0.212986285,27,46,450,120,90,50,320,100,410,100,180,120,40,40,100,60,140,60,25.115044,5.9604492,4.8305664,10226.463,5482.4102,4362.8481,22961.625,-4.2638888,-3.0051076,813.58948,219.06516,6.39E-16
A25,1.393499963,2,1,0.134256486,40,46,500,150,390,60,330,80,720,80,310,150,170,50,170,80,340,80,25.076401,6.8881836,8.4116211,10548.782,5507.6616,4656.4434,23085.375,3.6756001,2.9086406,630.37982,367.86972,8.35E-16
A73,1.435144634,2,1,0.082302242,45,50,570,160,260,50,120,40,380,50,350,160,90,50,40,40,130,50,25.048143,7.2983398,8.9829102,10114.313,5536.6934,4168.5186,23028.125,4.4361157,3.5049794,334.8624,425.48404,4.63E-16
A36,1.440620384,2,1,0.028672801,13.9,44,440,160,480,80,230,80,710,80,330,160,100,60,70,70,170,70,25.597891,7.6499023,8.909668,10300.901,5298.2202,4669.2534,23533.75,7.0879045,5.4706788,530.83618,353.85403,3.34E-15
A78,1.579765967,2,1,0.958449788,45,36,620,290,140,50,360,70,500,70,540,290,0,0,160,60,160,60,24.471712,5.1479492,5.1987305,10134.739,5692.0767,4043.8777,22587.125,-2.0143392,-1.4301106,520.08942,202.57999,1.92E-15
