name,BSA_LC_HC,E,HI,pro_asa_hph,pro_asa_hyd,pro_cdr_net_charge,pro_dipole_moment,pro_hyd_moment,pro_net_charge,pro_patch_cdr_hyd,pro_patch_cdr_pos,pro_patch_cdr_neg,pro_patch_hyd,pro_patch_pos,pro_patch_neg,pro_pI_3D
ADI-14447,860.92554,-1195.6914,1.3981937,3856.1892,5785.5537,0.22569245,176.26253,489.28445,5.5110211,350,290,200,630,560,340,8.5141602
ADI-14460,973.00482,-1359.9236,0.50019205,4110.8989,5586.5581,-8.9623489,319.12119,581.90955,-1.0302557,180,190,240,310,420,420,6.7124023
ADI-14487,697.31879,-1388.8815,0.72748339,4222.6738,5579.584,0.47975695,335.00479,217.62134,0.43807793,380,150,200,580,400,290,7.5913086
ADI-14485,887.50507,-1489.5214,0.60622644,4072.8499,5666.6499,0.39734975,316.62848,303.04623,-0.20947081,170,200,310,480,410,390,6.6831055
ADI-14483,694.82861,-1510.5421,0.59362751,3980.7517,5442.9697,-5.4143624,416.30072,409.38348,6.4447265,140,100,40,310,350,220,9.4077148
ADI-14501,888.17578,-1382.5878,1.4547998,3714.2842,5761.0024,1.6400698,214.61934,186.48651,1.6463096,420,80,290,590,340,430,8.5141602
ADI-14499,965.34534,-1476.3884,0.54342914,3942.3628,5414.4688,-6.0601277,275.06644,339.91138,2.9485753,100,70,260,290,400,390,8.206543
ADI-14506,932.29419,-1434.6083,1.6179655,4054.884,6016.1577,0.053582709,291.84387,438.36966,3.4900239,410,190,220,600,540,400,8.3676758
ADI-14532,965.90656,-1576.068,0.82733434,4366.0229,5227.8911,-5.2376146,413.44125,594.96826,-5.3517184,140,210,290,430,430,480,4.3735352
ADI-14516,853.54376,-1641.1267,0.61422348,4308.2754,5317.4473,-4.0229335,264.35654,400.74805,2.6232095,170,0,100,530,340,260,7.6791992
ADI-14544,751.85114,-1204.2687,0.24650709,3934.9834,5702.9263,-7.8939271,170.91776,234.114,-1.5323039,220,130,210,390,480,420,6.5219727
ADI-14562,739.36633,-1408.099,1.4573509,3882.7688,5530.6401,1.3460357,183.8902,595.5318,-0.039076895,120,130,170,450,300,420,7.3569336
ADI-15576,805.3233,-1306.8026,1.1225387,4060.8059,5661.6323,-4.2145171,406.43408,696.21069,6.0308065,230,320,160,470,510,360,9.0415039
ADI-15603,884.32257,-1548.9709,0.77052778,3936.1523,5597.6245,-5.8271976,462.72623,434.50574,2.8926425,230,150,270,560,270,360,8.2797852
ADI-15610,933.51532,-1383.62,1.947865,3937.0691,5692.4307,1.280115,264.27524,423.35706,2.5269775,360,100,120,540,380,220,8.3676758
ADI-15621,797.54199,-1397.7063,0.92841262,4065.1802,5666.7207,-3.5807204,261.93469,369.78873,-2.3663108,310,150,190,520,340,380,6.3286133
ADI-15628,941.04913,-1281.8715,0.54097849,4081.8589,5387.0737,-8.5196571,312.94882,524.26276,-1.51684,230,150,160,350,340,320,6.4555664
ADI-15631,819.58539,-1498.092,0.81483126,4405.1938,5507.4951,-4.1615615,174.58301,364.49719,3.0564837,220,80,150,430,290,190,8.440918
ADI-15636,787.95251,-1316.8297,1.0377718,3800.0701,5533.5913,1.250476,296.23264,415.13724,1.7717359,210,130,90,500,400,210,8.074707
ADI-15638,859.19897,-1503.9037,1.3790869,4102.7476,5570.3252,-6.8487034,476.16016,674.31635,3.8863649,80,50,120,150,310,270,8.3676758
ADI-15641,765.27679,-1349.8829,1.5634823,4295.9878,5042.2939,-9.6609917,438.1456,576.33582,-1.4621922,190,110,270,260,390,330,6.4555664
ADI-15652,946.12708,-1330.9442,0.71592957,4197.5088,5317.498,-8.5769243,226.46591,537.66077,-4.7711668,170,140,260,250,330,470,5.1352539
ADI-15665,1107.459,-1597.6144,0.89951539,4142.9824,5720.4482,-0.3430323,435.42245,116.39402,1.8572953,280,80,40,470,280,290,8.3383789
ADI-15565,825.58948,-1347.3068,1.014307,3895.0178,5402.2988,-9.6343184,533.69922,713.4939,-4.1331487,210,50,140,440,280,300,5.4145508
ADI-15571,914.02979,-1368.6906,1.1649313,4029.5698,5433.0405,-5.6338906,138.71179,380.94424,5.6668639,100,110,70,380,350,260,9.3637695
ADI-15569,842.82111,-1532.552,0.74176967,3968.9626,5710.5391,-0.15520501,289.65295,159.24007,1.277552,130,180,160,460,480,280,7.6791992
ADI-15573,723.94727,-1436.4735,1.677084,4224.7598,5259.5146,0.51338828,127.11372,509.46057,5.4943471,80,120,180,180,380,350,8.9389648
ADI-18959,778.31616,-1349.9784,0.70119429,4074.9319,5426.3706,-4.9179378,530.85614,236.48238,-1.1674699,350,110,330,530,530,440,6.5219727
ADI-18880,850.08435,-1593.8918,0.56118006,4308.7988,5540.4585,-0.78215694,280.2186,308.95496,5.9814239,350,130,200,560,520,240,8.7045898
ADI-18883,735.11157,-1316.4757,2.0558167,3897.8245,6095.1724,0.16842732,316.11807,754.58496,3.5967524,400,50,140,650,410,350,8.7338867
ADI-18900,754.18048,-1585.4714,0.45224926,4019.1997,5334.5947,-5.9070187,101.36724,115.56538,0.078254566,200,40,160,410,400,270,7.4448242
ADI-18889,786.7384,-1472.0543,0.42006925,4287.7188,5272.8237,-0.26302916,451.2486,267.22757,5.0027037,240,150,110,430,380,210,9.0708008
ADI-18904,888.78583,-1608.6963,0.87498343,4151.8379,5490.1533,-0.74907559,156.66054,268.12411,2.7138424,260,170,90,460,440,250,8.0454102
ADI-18920,773.68298,-1564.6188,1.2733362,4403.5264,5741.8896,-8.9799852,128.55862,672.22949,-3.3735003,340,160,290,570,280,460,5.2241211
ADI-18939,733.89813,-1308.9926,0.65614927,4180.6748,5558.9199,-3.9775605,290.64447,331.50003,4.0207152,90,60,120,400,360,170,8.3383789
ADI-18948,952.48962,-1650.3287,0.59534991,4196.4673,5173.4658,-3.2373559,310.62009,246.99277,0.035686411,200,130,210,460,430,380,7.5180664
ADI-15736,806.35364,-1494.2711,1.2505685,4217.7949,5663.7676,0.16228083,462.46899,227.29456,3.0769629,350,120,90,560,550,180,8.675293
ADI-15753,787.75824,-1359.7145,0.71742827,4378.0552,5702.8291,-3.8171957,297.09305,383.21384,-0.65825963,230,60,130,520,300,330,6.6245117
ADI-15735,1014.0518,-1477.6202,1.4567519,4016.6697,5711.2886,0.70845658,282.66895,404.74908,3.5918312,320,80,150,470,520,280,8.5141602
ADI-15759,781.9942,-1290.2858,1.1187482,4424.1045,5362.9951,-1.4206201,344.00504,299.07953,3.54597,250,140,90,450,620,370,8.6899414
ADI-15760,856.63916,-1423.6899,2.2501438,4128.9736,5804.749,-3.0264237,419.41971,702.40186,4.4866738,250,170,210,540,470,340,8.8803711
ADI-15763,906.90118,-1590.7196,1.4672399,4173.2651,5686.5718,0.054379754,280.72049,264.323,4.8595476,200,120,40,280,620,150,9.3491211
ADI-15769,933.86755,-1510.3906,1.0825347,4099.0288,5750.0273,-4.8014846,541.51617,148.11511,1.0413495,260,190,200,440,560,340,8.0014648
ADI-15778,761.43835,-1448.4741,0.68373561,4130.5591,5417.3672,-8.807725,265.56305,394.74963,-4.711164,260,140,120,470,350,340,4.487793
ADI-15803,1069.1392,-1695.2593,0.53633571,4083.0923,5436.7183,-2.9165337,253.03229,191.058,2.4336147,130,200,120,250,400,220,8.1625977
ADI-15814,764.4632,-1354.376,1.4189197,4030.2437,5478.3188,-1.5139893,352.23361,651.60846,4.3672767,130,160,40,350,410,220,9.0561523
ADI-15958,747.08173,-1317.2863,0.68763906,4065.0715,5623.0298,-0.22813933,158.75331,469.92245,4.1826401,230,140,60,460,520,180,8.6606445
